Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	11872	-	0	0	0	0	0	0	3	77	0	0	0	0	0	0	0	0	0	0	50	56	0	0	0	2	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2429	15	1	0	0	0	0	0	1	162	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	12	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	11	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	10	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	13	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	17	13	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	11	0	0	0	0	0	0	1	243	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	11	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	11	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	14	9	0	0	0	0	36	0	74	0	0	1	0	0	0	0	0	0	0	86	1312	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1846	10	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	30	203	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	10	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	1	0	0	30	139	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	11	0	0	0	0	0	9	0	251	0	0	0	0	0	0	0	0	0	0	38	138	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	11	8	0	0	0	0	15	0	250	0	0	0	0	0	0	0	0	0	0	64	237	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2384	11	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	29	139	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	9	1	0	0	0	0	48	0	8	0	0	0	0	0	0	0	0	0	0	38	186	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4796	13	0	0	0	0	0	28	0	273	0	0	0	0	0	0	0	1	0	0	247	729	0	0	0	8	0	3
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	28	0	0	0	0	0	192	0	561	0	0	0	0	0	0	0	2	0	0	675	1592	0	0	0	25	0	4
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	12	1	0	0	0	0	53	0	23	0	0	0	0	0	0	0	0	0	0	222	558	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	11	0	0	0	0	0	16	0	249	0	0	1	0	0	0	0	1	0	0	71	190	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	10	0	0	0	0	0	82	0	26	0	0	0	0	0	0	0	0	0	0	229	592	0	0	0	9	0	1
