Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	11872	-	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	31	48	0	0	0	2	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2429	4	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	3	6	0	0	0	0	13	0	12	0	0	1	0	0	0	0	0	0	1	71	247	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1846	3	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	28	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	3	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	27	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	3	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	31	80	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	4	5	0	0	0	0	5	0	6	0	0	0	0	0	0	0	1	0	0	60	173	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2384	3	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	31	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	3	0	0	0	0	0	26	0	4	0	0	0	0	0	0	0	0	0	0	30	115	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4796	3	0	0	0	0	0	19	0	17	0	0	0	0	0	0	0	1	0	0	217	430	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	8	0	0	0	0	0	139	0	90	0	0	0	0	0	0	0	5	0	0	636	1128	0	0	0	24	0	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	3	0	0	0	0	0	26	0	16	0	0	1	0	0	0	0	1	0	0	212	401	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	3	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	1	0	0	66	128	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	3	1	0	0	0	0	39	0	30	0	0	0	0	0	0	0	2	0	0	233	426	0	1	0	10	0	0
