Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.aps.r4.json	22297	-	0	0	0	0	0	0	4	612	0	0	0	0	0	0	0	1	0	0	111	146	0	0	0	4	0	0
fsh-generated/resources/AllergyIntolerance-002.json	1159	10	0	0	1	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-APS-1-no-problems-medication-allergies.json	9090	12	30	0	0	0	0	0	1	610	0	0	0	0	0	0	0	0	0	0	34	45	0	0	0	0	0	1
fsh-generated/resources/Bundle-APS-2-preventive-medical-checkup.json	86982	28	55	0	0	0	0	0	3	2704	0	0	0	0	0	0	0	1	0	0	237	298	0	0	0	0	0	0
fsh-generated/resources/Bundle-APS-3-diabetes.json	39950	19	21	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	101	113	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-aps-server.json	12859	10	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	85	52	0	1	0	2	0	0
fsh-generated/resources/Device-001.json	550	7	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Device-002.json	740	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Immunization-immunization-vaccine-unknown.json	933	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Observation-001.json	732	8	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Observation-002.json	654	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-003.json	797	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Patient-002.json	709	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Procedure-001.json	1041	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-aps-Procedure.json	3311	9	0	225	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	115	497	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-allergyintolerance.json	2161	8	0	55	0	0	0	0	0	571	0	0	0	0	0	0	0	1	0	0	128	291	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-aps-bundle.json	16628	11	0	1076	0	0	0	0	0	172	0	0	2	0	0	0	0	8	0	0	1743	5032	0	0	0	61	1	7
fsh-generated/resources/StructureDefinition-at-aps-composition.json	30909	14	0	111	0	0	0	0	0	1133	0	0	0	0	0	0	0	3	0	0	857	1358	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-at-aps-condition.json	3192	8	0	33	0	0	0	0	0	547	0	0	0	0	0	0	0	1	0	0	101	2591	0	0	0	5	0	0
