Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.aps.r4.json	36513	-	0	0	1	0	0	0	18	165	0	0	0	0	0	0	0	0	0	0	130	188	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-at-aps-example-allergyintolerance-01.json	1032	10	0	0	0	0	0	0	1	44	0	0	0	0	0	0	0	0	0	0	18	22	0	0	1	0	0	0
fsh-generated/resources/Bundle-AtApsExample03Diabetes.json	41039	23	56	0	0	0	0	0	6	1775	0	0	0	0	0	0	0	1	0	0	79	738	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle-Journey-1.json	26070	16	22	0	0	0	0	0	2	509	0	0	0	0	0	0	0	1	0	0	54	74	0	0	0	0	0	1
fsh-generated/resources/Bundle-AtApsExampleBundle-Journey-2.json	47072	19	14	0	0	0	0	0	3	2938	0	0	0	0	0	0	0	0	0	0	93	85	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle-Journey-3.json	67445	24	16	0	0	0	0	0	4	1280	0	0	0	0	0	0	0	0	0	0	130	158	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle01NoProblemsMedicationAllergies.json	8906	10	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	19	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle02PreventiveMedicalCheckup.json	93013	25	12	0	0	0	0	0	5	465	0	0	0	0	0	0	0	1	0	0	173	660	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-at-aps-capabilitystatement-server.json	11772	9	0	0	1	0	1	0	1	39	0	0	0	0	0	0	0	0	0	0	59	32	0	1	0	2	0	1
fsh-generated/resources/CarePlan-AtApsExampleCareplan01.json	1626	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-AtApsExampleClinicalImpression01.json	1353	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Condition-AtApsExampleCondition01.json	1455	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Consent-AtApsExampleConsent01.json	904	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Device-at-aps-example-device-01.json	593	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/Device-at-aps-example-device-02-software.json	813	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/DeviceUseStatement-AtApsExampleDeviceUseStatement01.json	534	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-AtApsExampleDiagnosticReport01.json	1190	7	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AtApsExampleDocumentReference01.json	1773	9	0	0	1	0	0	0	1	828	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
