Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.aps.r4.json	29277	-	0	0	0	0	0	0	3	818	0	0	0	0	0	0	0	0	0	0	142	140	0	0	0	5	0	2
fsh-generated/resources/AllergyIntolerance-at-aps-example-allergyintolerance-01.json	1181	11	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExample03Diabetes.json	41247	17	57	0	1	0	0	0	2	1386	0	0	0	0	0	0	0	1	0	0	86	136	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle-Journey-1.json	26278	11	20	0	0	0	0	0	1	832	0	0	0	0	0	0	0	0	0	0	64	82	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle-Journey-2.json	47280	11	15	0	0	0	0	0	2	2853	0	0	0	0	0	0	0	1	0	0	100	136	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle-Journey-3.json	67653	19	18	0	0	0	0	0	2	1237	0	0	0	0	0	0	0	0	0	0	140	174	0	0	0	0	0	1
fsh-generated/resources/Bundle-AtApsExampleBundle01NoProblemsMedicationAllergies.json	9114	6	6	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	22	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-AtApsExampleBundle02PreventiveMedicalCheckup.json	93221	17	13	0	0	0	0	0	3	43	0	0	0	0	0	0	0	1	0	0	184	225	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-at-aps-capabilitystatement-server.json	11772	5	0	0	0	0	1	0	1	26	0	0	0	0	0	0	0	0	0	0	63	45	0	0	0	2	0	0
fsh-generated/resources/Device-at-aps-example-device-01.json	593	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
