Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.ips.json	22516	-	0	0	0	0	0	0	3	335	0	0	0	0	0	0	0	0	0	0	126	176	0	0	0	4	0	1
fsh-generated/resources/AllergyIntolerance-002.json	1178	24	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	22	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-APS-1-no-problems-medication-allergies.json	9185	28	35	0	0	0	0	0	1	546	0	0	0	0	0	0	0	1	0	0	37	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-APS-2-preventive-medical-checkup.json	88027	43	50	0	0	0	0	0	4	1311	0	0	0	0	0	0	0	1	0	0	268	281	0	0	0	0	0	1
fsh-generated/resources/Bundle-APS-3-diabetes.json	40368	35	36	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	104	73	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-aps-server.json	12859	32	0	0	0	0	1	0	1	48	0	0	0	0	0	0	0	0	0	0	87	36	0	1	0	3	0	0
fsh-generated/resources/Device-001.json	569	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0
fsh-generated/resources/Device-002.json	759	21	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	0
fsh-generated/resources/Immunization-immunization-vaccine-unknown.json	952	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	26	0	0	0	0	0	0
fsh-generated/resources/Observation-001.json	751	21	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0
fsh-generated/resources/Observation-002.json	654	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Observation-003.json	816	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/Patient-002.json	728	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Procedure-001.json	1060	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-aps-Procedure.json	3444	21	0	260	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	144	534	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-aps-allergyintolerance.json	2199	21	0	66	0	0	0	0	0	307	0	0	1	0	0	0	0	1	0	0	123	253	0	0	0	4	0	0
