"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Datenarten-diab","Datenarten-diab","","","",0,*,"","","","null {[]} {[]}
","Datenarten für das versorgungsstufenübergreifende elektronische Leitdokument","Datenarten für das Versorgungsstufenübergreifende elektronische Leitdokument basierend auf dem Rahmenkonzept Integrierte Versorgung Diabetes Mellitus Typ 2.

Refer to the **[mapping from the logical model of diabetes to the logical model based on the International Patient Summary (IPS)](mappings.html#patient)** in order to get an idea how the IPS can be used in this context.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Datenarten-diab.Esentiell","Datenarten-diab.Esentiell","","","",1,1,"","","","BackboneElement {[]} {[]}
","Essentielle Daten","Essentielle Daten","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Datenarten-diab.Esentiell.id","Datenarten-diab.Esentiell.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Datenarten-diab.Esentiell.extension","Datenarten-diab.Esentiell.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Datenarten-diab.Esentiell.modifierExtension","Datenarten-diab.Esentiell.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Datenarten-diab.Esentiell.Diagnose","Datenarten-diab.Esentiell.Diagnose","","","",0,*,"","","","string {[]} {[]}
","Diabetes- und Komplikations-Diagnosen","Diabetes- und Komplikations-Diagnosen","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell.Diagnose",0,*,"",""
"Datenarten-diab.Esentiell.Termine","Datenarten-diab.Esentiell.Termine","","","",0,*,"","","","string {[]} {[]}
","Kontakte & Termine: GDA-Kontakte, zu planende und durchgeführte Kontrolltermine und Überweisungen inkl. Befunden, zu planende und durchgeführte Schulungen","Kontakte & Termine: GDA-Kontakte, zu planende und durchgeführte Kontrolltermine und Überweisungen inkl. Befunden, zu planende und durchgeführte Schulungen","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell.Termine",0,*,"",""
"Datenarten-diab.Esentiell.Diabetesmedikation","Datenarten-diab.Esentiell.Diabetesmedikation","","","",0,*,"","","","string {[]} {[]}
","Therapie: Diabetesmedikation im Verlauf","Therapie: Diabetesmedikation im Verlauf","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell.Diabetesmedikation",0,*,"",""
"Datenarten-diab.Esentiell.Labor","Datenarten-diab.Esentiell.Labor","","","",0,*,"","","","string {[]} {[]}
","Laborwerte: HbA1c mit Datum und im Verlauf, HbA1c-Zielwert, Kreatinin, Eiweiß im Harn","Laborwerte: HbA1c mit Datum und im Verlauf, HbA1c-Zielwert, Kreatinin, Eiweiß im Harn","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell.Labor",0,*,"",""
"Datenarten-diab.Esentiell.Vitalparameter","Datenarten-diab.Esentiell.Vitalparameter","","","",0,*,"","","","string {[]} {[]}
","Klinische Parameter: Größe, Gewicht, BMI","Klinische Parameter: Größe, Gewicht, BMI","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell.Vitalparameter",0,*,"",""
"Datenarten-diab.Esentiell.AllgemeineInfo","Datenarten-diab.Esentiell.AllgemeineInfo","","","",0,1,"","","","string {[]} {[]}
","Allgemeine Informationen: Metformin-Unverträglichkeit","Allgemeine Informationen: Metformin-Unverträglichkeit","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Esentiell.AllgemeineInfo",0,1,"",""
"Datenarten-diab.Zusatz","Datenarten-diab.Zusatz","","","",1,1,"","","","BackboneElement {[]} {[]}
","Sinnvolle zusätzliche Daten","Sinnvolle zusätzliche Daten","","","","","","","","","",,,,,"",,,,"Datenarten-diab.Zusatz",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Datenarten-diab.Zusatz.id","Datenarten-diab.Zusatz.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
