Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-elga.iv.diab.json	14451	-	0	0	0	0	0	0	4	426	0	0	0	0	0	0	0	0	0	0	97	112	0	0	1	4	0	1
fsh-generated/resources/Bundle-2788423.json	267494	78	0	0	0	1	122	0	17	2804	0	0	0	0	0	0	0	4	0	0	637	842	0	0	0	0	0	2
fsh-generated/resources/Bundle-IPS-1-no-problems-medication-allergies.json	8145	26	1	0	0	0	5	0	1	3	0	0	0	0	0	0	0	0	0	0	29	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-IPS-2-preventive-medical-checkup.json	80491	36	0	0	0	0	25	0	6	828	0	0	0	0	0	0	0	1	0	0	189	305	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-AllergiesIntolerances-ips.json	3290	21	0	0	0	0	0	6	0	27	0	0	0	0	0	0	0	0	0	0	44	1459	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Datamodel-diab.json	19542	25	1	0	0	0	0	80	0	36	0	0	0	0	0	0	0	1	0	0	260	1296	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-Datenarten-diab.json	6863	22	0	0	0	0	0	37	0	15	0	0	0	0	0	0	0	1	0	0	71	325	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DiagnosticResults-ips.json	4207	21	0	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	0	74	198	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-FunctionalStatus-ips.json	3178	23	1	0	0	0	0	23	0	7	0	0	0	0	0	0	0	0	0	0	41	166	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HistoryOfIllnesses-ips.json	3280	21	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	0	39	172	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicalDevices-ips.json	3051	21	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	0	0	0	40	139	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicationSummary-ips.json	3430	3	1	0	0	0	0	19	0	7	0	0	1	0	0	0	0	0	0	0	46	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PlanOfCare-ips.json	9368	4	0	0	0	0	0	38	0	18	0	0	0	0	0	0	0	0	0	0	105	322	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-ProblemList-ips.json	5624	4	1	0	0	0	0	20	0	471	0	0	0	0	0	0	0	1	0	0	42	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SocialHistory-ips.json	4127	3	0	0	0	0	0	25	0	7	0	0	0	0	0	0	0	0	0	0	56	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Subject-ips.json	6257	4	0	0	0	0	0	30	0	117	0	0	0	0	0	0	0	0	0	0	60	180	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VitalSigns-ips.json	3944	3	1	0	0	0	0	25	0	5	0	0	0	0	0	0	0	0	0	0	48	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-ips-allergyintolerance.json	1626	3	0	0	0	0	0	246	0	9	0	0	0	0	0	0	0	1	0	0	92	342	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-ips-patient.json	1131	3	0	0	0	0	0	96	0	35	0	0	0	0	0	0	0	4	0	0	420	1919	0	0	0	23	1	2
fsh-generated/resources/StructureDefinition-at-iv-allergyintolerance.json	1433	3	0	0	0	0	0	41	0	8	0	0	1	0	0	0	0	1	0	0	87	287	0	0	0	5	0	0
fsh-generated/resources/ValueSet-diagnose.json	1245	3	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	10	7605	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fussdiagnose.json	1261	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	79	0	0	0	0	0	0
fsh-generated/resources/ValueSet-komplikationsdiagnose.json	1297	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	70	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nebendiagnose.json	1265	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	8	66	0	0	0	0	0	0
