"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AllergiesIntolerances-ips","AllergiesIntolerances-ips","AllergiesIntolerances-ips","","","",0,*,"","","","null {[]} {[]}
","Allergies and Intolerances (IPS)","Abbildung der Datenfelder, die für den Entwurf der Datenspezifikation des Rahmenkonzepts Integrierte Versorgung Diabetes Mellitus Typ 2 erforderlich sind, auf dem des IPS-Modul ""Allergies and Intolerances"".

Refer to the **[mapping from the logical model of diabetes to the logical model based on the International Patient Summary (IPS)](mappings.html)** in order to get an idea how the IPS relates to diabetes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AllergiesIntolerances-ips","AllergiesIntolerances-ips.code","AllergiesIntolerances-ips.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of the substance/product, allergy or intolerance condition or or a code for absent/unknown allergy.","Type of the substance/product, allergy or intolerance condition or or a code for absent/unknown allergy.","","","","","","","","","",,,,,"",,,,"AllergiesIntolerances-ips.code",1,1,"",""
"AllergiesIntolerances-ips","AllergiesIntolerances-ips.patient","AllergiesIntolerances-ips.patient","","","",1,1,"","","","https://diab.iv.elga.gv.at/StructureDefinition/Subject-ips {[]} {[]}
","Who the sensitivity is for","Who the sensitivity is for","","","","","","","","","",,,,,"",,,,"AllergiesIntolerances-ips.patient",1,1,"",""
"AllergiesIntolerances-ips","AllergiesIntolerances-ips.asserter[x]","AllergiesIntolerances-ips.asserter[x]","","","",0,1,"","","","https://diab.iv.elga.gv.at/StructureDefinition/Subject-ips {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}","Source of the information about the allergy","Source of the information about the allergy","","","","","","","","","",,,,,"",,,,"AllergiesIntolerances-ips.asserter[x]",0,1,"",""
"Datamodel-diab","Datamodel-diab","Datamodel-diab","","","",0,*,"","","","null {[]} {[]}
","Datamodel Diabetes","Datenmodel das basierend auf den Datenarten für das Versorgungsstufenübergreifende elektronische Leitdokument des Rahmenkonzepts Integrierte Versorgung Diabetes Mellitus Typ 2 erstellt wurde.

Refer to the **[mapping from the logical model of diabetes to the logical model based on the International Patient Summary (IPS)](mappings.html#patient)** in order to get an idea how the IPS can be used in this context.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Datamodel-diab","Datamodel-diab.Administratives","Datamodel-diab.Administratives","","","",1,1,"","","","BackboneElement {[]} {[]}
","Administrative Inhalte","Administrative Inhalte","","","","","","","","","",,,,,"",,,,"Datamodel-diab.Administratives",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Datamodel-diab","Datamodel-diab.Administratives.id","Datamodel-diab.Administratives.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Datamodel-diab","Datamodel-diab.Administratives.extension","Datamodel-diab.Administratives.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Datamodel-diab","Datamodel-diab.Administratives.modifierExtension","Datamodel-diab.Administratives.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Datamodel-diab","Datamodel-diab.Administratives.Untersuchung","Datamodel-diab.Administratives.Untersuchung","","","",1,1,"","","","BackboneElement {[]} {[]}
","Untersuchungsdatum","Untersuchungsdatum","","","","","","","","","",,,,,"",,,,"Datamodel-diab.Administratives.Untersuchung",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
