Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-elga.iv.diab.json	11939	-	0	0	0	0	0	0	5	88	0	0	0	0	0	0	0	0	0	0	141	110	0	0	1	4	0	0
fsh-generated/resources/Bundle-2788423.json	267494	94	0	0	0	0	115	0	16	2769	0	0	0	0	0	0	0	7	0	0	1207	980	0	0	0	0	0	5
fsh-generated/resources/Bundle-IPS-1-no-problems-medication-allergies.json	8145	21	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	39	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-IPS-2-preventive-medical-checkup.json	80491	35	0	0	0	0	27	0	3	829	0	0	0	0	0	0	0	1	0	0	351	355	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-AllergiesIntolerances-ips.json	3250	19	1	0	0	0	0	8	1	46	0	0	1	0	0	0	0	0	0	0	60	1686	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Datamodel-diab.json	19522	20	0	0	0	0	0	67	0	59	0	0	0	0	0	0	0	1	0	0	439	1491	0	0	0	11	1	0
fsh-generated/resources/StructureDefinition-Datenarten-diab.json	6843	18	0	0	0	0	0	27	0	30	0	0	0	0	0	0	0	0	0	0	138	331	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DiagnosticResults-ips.json	4177	18	1	0	0	0	0	13	0	31	0	0	0	0	0	0	0	1	0	0	114	199	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-FunctionalStatus-ips.json	3148	25	0	0	0	0	0	11	0	22	0	0	0	0	0	0	0	0	0	0	55	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HistoryOfIllnesses-ips.json	3250	33	0	0	0	0	0	16	0	23	0	0	0	0	0	0	0	0	0	0	53	114	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicalDevices-ips.json	3011	19	1	0	0	0	0	14	0	22	0	0	0	0	0	0	0	0	0	0	55	124	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MedicationSummary-ips.json	3390	18	0	0	0	0	0	11	0	16	0	0	0	0	0	0	0	0	0	0	66	116	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PlanOfCare-ips.json	9338	20	0	0	0	0	0	34	0	22	0	0	0	0	0	0	0	1	0	0	188	306	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ProblemList-ips.json	5594	19	1	0	0	0	0	16	0	11	0	0	0	0	0	0	0	0	0	0	78	143	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SocialHistory-ips.json	4097	18	0	0	0	0	0	12	0	18	0	0	0	0	0	0	0	0	0	0	112	168	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-Subject-ips.json	6237	15	0	0	0	0	0	18	0	103	0	0	0	0	0	0	0	0	0	0	123	240	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-VitalSigns-ips.json	3914	5	1	0	0	0	0	18	0	9	0	0	0	0	0	0	0	0	0	0	98	117	0	0	0	2	0	0
fsh-generated/resources/ValueSet-diagnose.json	1235	5	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	23	9061	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fussdiagnose.json	1251	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	93	0	0	0	0	0	0
fsh-generated/resources/ValueSet-komplikationsdiagnose.json	1287	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	91	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nebendiagnose.json	1255	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	91	0	0	0	1	0	0
