Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-elga.iv.diab.json	12162	-	0	0	0	0	0	0	5	382	0	0	0	0	0	0	0	0	1	0	106	136	0	0	0	5	0	1
fsh-generated/resources/Bundle-2788423.json	267494	74	1	0	0	0	98	0	19	3226	0	0	0	0	0	0	0	4	0	0	688	749	0	0	0	0	0	3
fsh-generated/resources/Bundle-IPS-1-no-problems-medication-allergies.json	8145	9	0	0	0	0	3	0	1	4	0	0	0	0	0	0	0	0	0	0	63	65	0	0	0	0	0	0
fsh-generated/resources/Bundle-IPS-2-preventive-medical-checkup.json	80491	23	0	0	0	0	23	0	6	812	0	0	0	0	0	0	0	1	0	0	221	231	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AllergiesIntolerances-ips.json	3250	6	1	0	0	0	0	8	0	38	0	0	1	0	0	0	0	0	0	0	73	1540	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Datamodel-diab.json	19522	9	0	0	0	0	0	77	0	59	0	0	0	0	0	0	0	1	0	0	254	1554	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-Datenarten-diab.json	6843	6	0	0	0	0	0	33	0	44	0	0	0	0	0	0	0	0	0	0	131	347	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DiagnosticResults-ips.json	4177	6	1	0	0	0	0	23	0	31	0	0	0	0	0	0	0	0	0	0	114	201	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FunctionalStatus-ips.json	3148	5	0	0	0	0	0	21	0	28	0	0	0	0	0	0	0	0	0	0	70	181	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HistoryOfIllnesses-ips.json	3250	6	0	0	0	0	0	14	0	26	0	0	0	0	0	0	0	0	0	0	51	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicalDevices-ips.json	3011	5	0	0	0	0	0	12	0	16	0	0	0	0	0	1	0	0	0	0	52	172	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-MedicationSummary-ips.json	3390	6	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	57	167	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PlanOfCare-ips.json	9338	7	1	0	0	0	0	36	0	39	0	0	0	0	0	0	0	0	0	0	116	324	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ProblemList-ips.json	5594	6	0	0	0	0	0	22	0	17	0	0	0	0	0	0	0	0	0	0	62	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SocialHistory-ips.json	4097	5	0	0	0	0	0	22	0	17	0	0	0	0	0	0	0	1	0	0	77	182	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Subject-ips.json	6237	6	0	0	0	0	0	28	0	130	0	0	0	0	0	0	0	0	0	0	86	224	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-VitalSigns-ips.json	3914	5	0	0	0	0	0	21	0	25	0	0	0	0	0	0	0	0	0	0	73	134	0	0	0	2	0	0
fsh-generated/resources/ValueSet-diagnose.json	1235	5	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	34	11051	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fussdiagnose.json	1251	5	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	33	468	0	0	0	0	0	0
fsh-generated/resources/ValueSet-komplikationsdiagnose.json	1287	4	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	33	432	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nebendiagnose.json	1255	5	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	34	398	0	0	0	1	0	0
