Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.iv.diab.json	15082	-	0	0	0	0	0	0	12	80	0	0	0	0	0	0	0	0	0	0	101	104	0	0	0	6	0	1
fsh-generated/resources/Bundle-example-iv-1.json	35272	19	55	0	1	0	0	0	6	1879	0	0	0	0	0	0	0	0	0	0	101	98	0	0	0	0	0	1
fsh-generated/resources/Bundle-example-iv-2.json	52124	15	26	0	0	0	0	0	4	1680	0	0	0	0	0	0	0	1	0	0	131	117	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-iv-3.json	56997	18	15	0	0	0	0	0	3	519	0	0	0	0	0	0	0	1	0	0	142	138	0	0	0	0	0	1
fsh-generated/resources/Bundle-example-iv-4.json	73112	19	21	0	0	0	0	0	2	459	0	0	0	0	0	0	0	0	0	0	185	184	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-iv-5.json	73121	15	15	0	0	0	0	0	3	475	0	0	0	0	0	0	0	0	0	0	145	172	0	0	0	0	0	2
fsh-generated/resources/Patient-001.json	1316	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Practitioner-example-practitioner.json	537	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AllergiesIntolerances-ips.json	3302	5	0	11	0	0	1	1	0	34	0	0	0	0	0	0	0	1	0	0	36	187	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Datamodel-diab.json	19548	7	0	57	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	241	672	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-Datenarten-diab.json	6869	5	0	33	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	85	135	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DiagnosticResults-ips.json	4216	4	0	26	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	71	82	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-FunctionalStatus-ips.json	3187	5	0	24	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	40	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HistoryOfIllnesses-ips.json	3289	5	0	26	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicalDevices-ips.json	3063	5	0	35	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-MedicationSummary-ips.json	3442	4	0	25	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	56	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PlanOfCare-ips.json	9377	5	0	37	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	111	133	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-ProblemList-ips.json	5633	5	0	6	1	0	0	0	0	3075	0	0	0	0	0	0	0	0	0	0	53	58	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SocialHistory-ips.json	4136	5	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	86	65	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Subject-ips.json	6263	5	0	12	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	85	99	1	0	0	5	0	0
fsh-generated/resources/StructureDefinition-VitalSigns-ips.json	3953	4	0	6	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	54	60	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-diab-bundle.json	1290	5	0	408	0	0	0	0	1	208	0	0	1	0	0	0	0	18	0	0	1533	6238	0	0	0	78	1	6
fsh-generated/resources/StructureDefinition-diab-careplan.json	2861	4	0	14	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	136	209	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-diab-composition.json	1447	5	0	115	0	0	0	0	0	538	0	0	0	0	0	0	0	3	0	0	568	1555	0	0	0	24	0	3
fsh-generated/resources/ValueSet-diab-careplan-education-vs.json	1577	5	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	13	2874	0	0	0	0	0	0
fsh-generated/resources/ValueSet-diagnose.json	1379	4	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	11	372	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fussdiagnose.json	1395	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	76	0	0	0	0	0	0
fsh-generated/resources/ValueSet-komplikationsdiagnose.json	1431	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	77	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nebendiagnose.json	1399	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	73	0	0	0	0	0	0
