Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-elga.iv.hi.json	11821	-	0	0	0	1	0	0	5	205	0	0	0	0	0	0	0	0	0	0	94	96	0	0	0	4	0	0
fsh-generated/resources/Bundle-IPS-1-no-problems-medication-allergies.json	8145	6	0	0	0	0	28	0	0	785	0	0	0	0	0	0	0	1	0	0	31	68	0	0	0	0	0	0
fsh-generated/resources/Bundle-IPS-2-preventive-medical-checkup.json	80648	33	0	0	0	0	39	0	6	1013	0	0	0	0	0	0	0	1	0	0	189	331	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-sample.json	1900	4	1	0	1	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	13	3780	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Akteur-hi.json	8022	4	0	0	0	0	0	34	0	174	0	0	0	0	0	0	0	0	0	0	101	1344	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-DiagnosticResults-ips.json	4231	3	0	0	0	0	0	17	0	29	0	0	0	1	0	0	0	0	0	0	58	242	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Erstdokumentation-hi.json	17560	4	1	0	0	0	0	64	0	34	0	0	1	0	0	0	0	1	0	0	183	838	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-Folgedokumentation-hi.json	20062	5	0	0	0	0	0	70	0	41	0	0	0	0	0	0	0	0	0	0	220	880	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-FunctionalStatus-ips.json	2653	2	0	0	0	0	0	16	0	9	0	0	0	0	0	0	0	0	0	0	29	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicationSummary-ips.json	2524	3	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	27	143	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Patient-hi.json	11069	3	0	0	0	0	0	42	0	119	0	0	0	0	0	0	0	1	0	0	119	307	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-PlanOfCare-ips.json	9402	4	1	0	0	0	0	37	0	19	0	0	0	0	0	0	0	0	0	0	99	175	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ProblemList-ips.json	5076	2	0	0	0	0	0	24	0	288	0	0	0	0	0	0	0	0	0	0	34	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Subject-ips.json	6293	3	0	0	0	0	0	29	0	13	0	0	0	0	0	0	0	0	0	0	63	133	0	0	0	3	0	0
fsh-generated/resources/ValueSet-acetherapy.json	1540	2	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	11	7361	0	0	0	1	0	0
fsh-generated/resources/ValueSet-austritt.json	1760	3	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	11	197	0	0	0	0	0	0
fsh-generated/resources/ValueSet-behandlungsziel.json	874	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	85	0	0	0	0	0	0
fsh-generated/resources/ValueSet-comorbidities.json	4386	2	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	23	251	0	0	0	1	0	0
fsh-generated/resources/ValueSet-diagnosis.json	1397	3	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	19	205	0	0	0	0	0	0
fsh-generated/resources/ValueSet-education.json	1525	2	1	0	0	0	0	0	1	88	0	0	0	0	0	0	0	1	0	0	18	224	0	0	0	1	0	0
fsh-generated/resources/ValueSet-facilitytype.json	914	2	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	16	164	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ressourcen.json	1011	2	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	14	223	0	0	0	0	0	0
fsh-generated/resources/ValueSet-schulung.json	797	2	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	9	188	0	0	0	0	0	0
fsh-generated/resources/ValueSet-symptoms.json	1683	2	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	11	156	0	0	0	1	0	0
fsh-generated/resources/ValueSet-targetdose.json	1437	3	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	10	152	0	0	0	0	0	0
fsh-generated/resources/ValueSet-therapie.json	1024	2	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	10	181	0	0	0	0	0	0
