Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.ediag.r4.json	12233	-	0	0	0	0	0	0	13	49	0	0	0	0	0	0	0	1	0	0	107	109	0	0	0	9	0	3
fsh-generated/resources/AllergyIntolerance-AllergyExample.json	2208	4	0	0	2	0	0	0	0	592	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-at-ediag-codesystem-diagnose-type.json	641	1	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	7	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-at-ediag-codesystem-reaction-time-cs.json	702	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	52	0	0	0	1	0	0
fsh-generated/resources/Condition-DiagnoseCurrentlyRelevantExample.json	1293	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/Condition-DiagnoseNotCurrentlyRelevantExample.json	1240	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Device-DeviceExample.json	463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0
fsh-generated/resources/List-ListExample01.json	678	1	0	0	0	0	0	0	0	73	0	3	0	0	0	0	0	0	0	0	6	24	0	0	0	0	0	0
fsh-generated/resources/List-ListExample02.json	630	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	1
fsh-generated/resources/OperationDefinition-at-ediag-operation-list-write.json	1323	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	3782	2	0	0	0	0	0	0	1	63	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/Practitioner-PractitionerExample.json	2016	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Procedure-ProcedureExample.json	887	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-elga-ediag-allergyintolerance.json	9747	4	0	54	0	0	0	0	0	550	0	0	0	0	0	0	0	2	0	0	257	742	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-at-elga-ediag-condition.json	8030	5	0	53	1	0	0	0	1	52	0	0	0	0	0	0	0	2	0	0	281	668	0	0	0	10	0	3
fsh-generated/resources/StructureDefinition-at-elga-ediag-ext-entered-in-error.json	4018	3	0	14	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	103	141	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-elga-ediag-list.json	6978	3	0	30	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	173	211	1	0	0	9	0	1
fsh-generated/resources/StructureDefinition-at-elga-ediag-procedure.json	8921	4	0	151	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	262	243	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-at-elga-ediag-reaction-time.json	1388	1	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	38	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-elga-ediag-reference.json	1018	1	0	5	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	46	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-elga-ediag-reported.json	1401	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	72	0	0	0	1	0	0
fsh-generated/resources/ValueSet-at-ediag-allergyintolerance-codes.json	698	0	0	0	0	0	0	0	1	103	0	0	0	0	0	0	0	1	0	0	6	324	0	0	0	1	0	0
fsh-generated/resources/ValueSet-at-ediag-diagnosen-codes.json	593	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	5	231	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-ediag-diagnosen-type.json	556	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	37	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-ediag-list-code-vs.json	663	1	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	6	70	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-ediag-list-emptyreason-vs.json	664	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	35	0	0	0	1	0	0
fsh-generated/resources/ValueSet-at-ediag-procedure-status.json	668	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	37	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-ediag-prozeduren-codes.json	2586	1	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	13	496	0	1	0	0	0	0
fsh-generated/resources/ValueSet-at-ediag-reaction-time-vs.json	551	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	36	0	0	0	1	0	0
/fsh-generated/includes/menu.xml	2629	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1872	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/patient_journey.md	1841	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/transaction.md	345	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/styleheader.md	1393	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	1957	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/background.md	342	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/OperationDefinition-at-ediag-operation-list-write-intro.md	1306	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/uc_ediag_01_lesen.md	4912	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/design_choices.md	40	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/technische_use_cases.md	1433	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/terminologies.md	124	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/workflowmanagement.md	69	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
