Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.elga.emed.r4.json	28818	-	0	0	0	0	0	0	13	63	0	0	0	0	0	0	0	1	0	0	111	227	0	0	0	5	0	1
fsh-generated/resources/Bundle-At-Emed-Journey-01-Bundle-Medikationsplan.json	1469	4	10	0	2	0	0	0	0	1004	0	0	0	0	0	0	0	0	0	0	6	20	0	0	1	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-01-Bundle-Tx-Medikationsplan.json	1590	3	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-02-Bundle-Medikationsplan.json	10670	5	23	0	0	0	0	0	2	1083	0	0	0	0	0	0	0	0	0	0	23	59	0	0	0	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-02-Bundle-Tx-Medikationsplan.json	10917	4	3	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	22	67	0	0	0	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-05-a-Bundle-Medikationsplan-Tx.json	10905	5	3	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	21	78	0	0	0	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-05-a-Bundle-Medikationsplan.json	10660	5	2	0	0	0	0	0	1	11	0	0	0	0	0	0	0	1	0	0	21	59	0	0	0	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-05-b-Bundle-Medikationsplan.json	10341	4	3	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	21	54	0	0	0	0	0	0
fsh-generated/resources/Bundle-At-Emed-Journey-05-b-Bundle-Tx-Medikationsplan.json	10710	5	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	21	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ElgaListEntryFlagCS.json	735	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedicationRequestCategoryCS.json	680	3	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	4	39	0	0	0	1	0	0
fsh-generated/resources/Device-At-Emed-Example-Device-01.json	473	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0
fsh-generated/resources/List-At-Emed-Journey-01-List-Medikationsplan.json	832	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0
fsh-generated/resources/List-At-Emed-Journey-02-List-Medikationsplan.json	1399	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0
fsh-generated/resources/List-At-Emed-Journey-05-a-List-Reihenfolge.json	1387	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0
fsh-generated/resources/List-At-Emed-Journey-05-b-List-Aenderung.json	1404	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0
fsh-generated/resources/Medication-At-Emed-Example-Medication-Magistral-01.json	2083	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-At-Emed-Example-Durchgefuehrte-Abgabe-01.json	1169	3	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	4	28	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-At-Emed-Example-Mr-Geplante-Abgabe.json	2940	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-At-Emed-Example-Mr-Planeintrag.json	2671	3	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-At-Emed-Journey-02-Mr-Planeintrag-01.json	2491	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-At-Emed-Journey-02-Mr-Planeintrag-02.json	4127	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-At-Emed-Journey-03-Mr-Geplante-Abgabe.json	2947	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-At-Emed-Journey-05-b-Mr-Planeintrag-01.json	2215	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	1
fsh-generated/resources/OperationDefinition-AtElgaEmed.List.PlanRead.json	1387	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-AtElgaEmed.List.PlanWrite.json	1407	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	5	5	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-at-emed-operation-groupidentifier-create.json	1396	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-at-emed-operation-groupidentifier-prescription-search.json	1561	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	4	3	0	0	0	1	0	0
fsh-generated/resources/Organization-At-Emed-Example-Organization-Apo-01.json	2374	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0
fsh-generated/resources/Patient-At-Emed-Example-Patient-01.json	3877	2	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-At-Emed-Example-Practitioner-01.json	2023	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
fsh-generated/resources/Practitioner-At-Emed-Example-Practitioner-02.json	2044	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-elga-emed-bundle-medikationsplan.json	3623	3	0	1366	0	0	0	0	0	615	0	0	0	0	0	0	0	1	0	0	150	830	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-at-elga-emed-bundle-medikationsplantx.json	3918	4	0	55	0	0	0	0	0	30	0	0	1	0	0	0	0	1	0	0	158	380	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-at-elga-emed-dosage-dosierung.json	6252	4	0	22	0	0	0	0	0	1041	0	0	0	0	1	0	0	0	0	0	79	199	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-at-elga-emed-list-medikationsplan.json	1752	3	0	22	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	72	192	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-elga-emed-medication-medikation.json	5014	4	0	28	0	0	0	0	0	516	0	0	0	0	0	0	0	1	0	0	91	130	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-at-elga-emed-medicationdispense-durchgefuehrteabgabe.json	14373	5	0	39	1	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	162	261	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-at-elga-emed-medicationrequest-geplanteabgabe.json	19288	10	0	54	0	0	0	0	0	551	0	0	0	0	0	0	0	1	0	0	165	402	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-at-elga-emed-medicationrequest-planeintrag.json	15938	8	0	32	0	0	0	0	0	24	0	0	0	0	1	0	0	1	0	0	127	324	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-at-elga-emed-substance-wirkstoff.json	747	3	0	22	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	32	125	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-at-elga-emed-timing.json	2876	4	0	15	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	56	150	0	0	0	6	0	0
fsh-generated/resources/Substance-At-Emed-Example-Substance-Clotrimazol.json	430	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0
fsh-generated/resources/Substance-At-Emed-Example-Substance-Hydrocortison.json	434	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DurchgefuehrteAbgabeStatusVS.json	773	2	0	0	0	0	0	0	0	2236	0	0	0	0	0	0	0	0	0	0	3	385	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DurchgefuehrteAbgabeTypVS.json	977	2	0	0	0	0	0	0	1	1095	0	0	0	0	0	0	0	0	0	0	4	344	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ElgaListEmptyReasonVS.json	646	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	54	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ElgaListEntryFlagVS.json	515	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	37	0	0	0	0	0	0
