URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medicationdispense-status,5.0.0,active,,MedicationDispenseStatusCodes,Medication Dispense Status Codes,"Medication Dispense Status Codes","ValueSet/DurchgefuehrteAbgabeStatusVS"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/GeplanteAbgabeStatusVS,ValueSet/PlaneintragStatusVS"
http://hl7.org/fhir/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.4.76",EventTiming,EventTiming,"Real world event relating to the schedule.","ValueSet/ElgaTimingWhenStandardAdministrationVS"
http://hl7.org/fhir/list-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.327",ListStatus,ListStatus,"The current state of the list.","ValueSet/ElgaListStatusVS"
http://terminology.hl7.org/CodeSystem/list-empty-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1106",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","ValueSet/ElgaListEmptyReasonVS"
http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1325",MedicationRequestStatusReasonCodes,MedicationRequest Status Reason Codes,"MedicationRequest Status Reason Codes","ValueSet/AtElgaEmedValueSetPlaneintragStatusReasonVS"
http://terminology.hl7.org/CodeSystem/v3-ActCode,11.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/DurchgefuehrteAbgabeTypVS"
https://fhir.hl7.at/elga/emed/r4/CodeSystem/AtElgaEmedCodeSystemDosageCategory,0.1.0,active,,AtElgaEmedCodeSystemDosageCategory,ELGA Dosage Category Status CodeSystem,"Zulässige Ausprägungen der Kategorie einer Dosierung in ELGA.","ValueSet/AtElgaEmedValueSetDosageCategory"
https://fhir.hl7.at/elga/emed/r4/CodeSystem/AtElgaEmedCodeSystemPlaneintragStatusReasonCS,0.1.0,active,,AtElgaEmedCodeSystemPlaneintragStatusReasonCS,ELGA e-Med MedicationRequest Planeintrag StatusReason CodeSystem,"Codesystem für zulässige Ausprägungen des StatusReason eines Medikationsplaneintrags (MedicationRequest).","ValueSet/AtElgaEmedValueSetPlaneintragStatusReasonVS"
https://fhir.hl7.at/elga/emed/r4/CodeSystem/ElgaListEntryFlagCS,0.1.0,active,,ElgaListEntryFlagCS,ELGA List.entry.flag CodeSystem,"CodeSystem für zulässige Ausprägungen des Flags eines List.Entries in ELGA.","ValueSet/ElgaListEntryFlagVS"
https://fhir.hl7.at/elga/emed/r4/CodeSystem/MedicationRequestCategoryCS,0.1.0,active,,MedicationRequestCategoryCS,ELGA e-Med MedicationRequest Kategorie CodeSystem,"Codesystem für zulässige Ausprägungen der MedicationRequest Kategorie. Dient der Unterscheidung von geplanten Abgaben und Medikationsplaneinträgen.","ValueSet/MedicationRequestCategoryVS"
https://termgit.elga.gv.at/CodeSystem/medikationrezeptart,0.1.0,active,"1.2.40.0.10.1.4.3.4.3.3",medikationrezeptart,MedikationRezeptart,"**Description:** ELGA Codelist for Prescription type  **Beschreibung:** ELGA Codeliste für RezeptArt","ValueSet/elga-medikationrezeptart"
