URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhir.hl7.at/elga/emed/r4/ValueSet/AtElgaEmedValueSetATC,0.1.0,active,,AtElgaEmedValueSetATC,ELGA Dosage Category Status ValueSet,"Zulässige Ausprägungen der Kategorie einer Dosierung in ELGA.","StructureDefinition/at-elga-emed-medication-magistrale-zubereitung","Other"
https://fhir.hl7.at/elga/emed/r4/ValueSet/AtElgaEmedValueSetDosageCategory,0.1.0,active,,AtElgaEmedValueSetDosageCategory,ELGA Dosage Category Status ValueSet,"Zulässige Ausprägungen der Kategorie einer Dosierung in ELGA.","StructureDefinition/at-elga-emed-extension-dosage-category","Internal"
https://fhir.hl7.at/elga/emed/r4/ValueSet/AtElgaEmedValueSetPlaneintragStatusReasonVS,0.1.0,active,,AtElgaEmedValueSetPlaneintragStatusReasonVS,ELGA e-Med Medikationsplaneintrag StatusReason Value Set,"ValueSet für zulässige Ausprägungen des StatusReason eines Medikationsplaneintrags (MedicationRequest).","StructureDefinition/at-elga-emed-medicationrequest-planeintrag","Internal,THO"
https://fhir.hl7.at/elga/emed/r4/ValueSet/DurchgefuehrteAbgabeStatusVS,0.1.0,active,,DurchgefuehrteAbgabeStatusVS,ELGA e-Med Durchgeführte Abgabe Status Value Set,"ValueSet für zulässige Ausprägungen eines Status einer Durchgeführten Abgabe (MedicationDispense).",,"FHIR"
https://fhir.hl7.at/elga/emed/r4/ValueSet/DurchgefuehrteAbgabeTypVS,0.1.0,active,,DurchgefuehrteAbgabeTypVS,ELGA e-Med Durchgeführte Abgabe Typ Value Set,"ValueSet für zulässige Ausprägungen eines Typs einer Durchgeführten Abgabe (MedicationDispense).",,"THO"
https://fhir.hl7.at/elga/emed/r4/ValueSet/ElgaListEmptyReasonVS,0.1.0,active,,ElgaListEmptyReasonVS,ELGA List Empty Reason Value Set,"ValueSet für zulässige Ausprägungen des Elements emptyReason einer Liste.","StructureDefinition/at-elga-emed-list-medikationsplan","THO"
https://fhir.hl7.at/elga/emed/r4/ValueSet/ElgaListEntryFlagVS,0.1.0,draft,,ElgaListEntryFlagVS,ELGA List.entry.flag Value Set,"ValueSet für zulässige Ausprägungen Ausprägungen des Flags eines List.Entries in ELGA.","StructureDefinition/at-elga-emed-list-medikationsplan","Internal"
https://fhir.hl7.at/elga/emed/r4/ValueSet/ElgaListStatusVS,0.1.0,active,,ElgaListStatusVS,ELGA List Status ValueSet,"Zulässige Ausprägungen des Status einer List-Ressource in ELGA.","StructureDefinition/at-elga-emed-list-medikationsplan","hl7.fhir.r4.core"
https://fhir.hl7.at/elga/emed/r4/ValueSet/ElgaTimingWhenStandardAdministrationVS,0.1.0,active,,ElgaTimingWhenStandardAdministrationVS,ELGA Dosierung Timing When ValueSet für Tageszeitenschema,"ValueSet für zulässige Ausprägungen des Elements when eines Timings für eine Dosierung mit Tageszeitenschema.","StructureDefinition/at-elga-emed-dosage-standard-administration","hl7.fhir.r4.core"
https://fhir.hl7.at/elga/emed/r4/ValueSet/GeplanteAbgabeStatusVS,0.1.0,active,,GeplanteAbgabeStatusVS,ELGA e-Med Geplante Abgabe Status ValueSet,"ValueSet für zulässige Ausprägungen eines Status einer geplanten Abgabe (MedicationRequest).","StructureDefinition/at-elga-emed-medicationrequest-geplanteabgabe","hl7.fhir.r4.core"
https://fhir.hl7.at/elga/emed/r4/ValueSet/MedicationRequestCategoryVS,0.1.0,draft,,MedicationRequestCategoryVS,ELGA e-Med MedicationRequest Kategorie ValueSet,"ValueSet für zulässige Ausprägungen der MedicationRequest Kategorie. Dient der Unterscheidung von geplanten Abgaben und Medikationsplaneinträgen","StructureDefinition/at-elga-emed-medicationrequest-planeintrag,StructureDefinition/at-elga-emed-medicationrequest-geplanteabgabe","Internal"
https://fhir.hl7.at/elga/emed/r4/ValueSet/PlaneintragStatusVS,0.1.0,active,,PlaneintragStatusVS,ELGA e-Med Medikationsplaneintrag Status Value Set,"ValueSet für zulässige Ausprägungen eines Status eines Medikationsplaneintrags (MedicationRequest).","StructureDefinition/at-elga-emed-medicationrequest-planeintrag","hl7.fhir.r4.core"
https://termgit.elga.gv.at/ValueSet/elga-medikationrezeptart,0.1.0,active,"1.2.40.0.34.10.68",elga-medikationrezeptart,ELGA_MedikationRezeptart,"**Description:** ELGA ValueSet for Prescription type  **Beschreibung:** ELGA ValueSet für RezeptArt","StructureDefinition/at-elga-emed-medicationrequest-geplanteabgabe","Internal"
