Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.prenudge.appdata.r4.json	74697	-	0	0	0	0	0	0	14	69	0	0	0	0	0	0	0	2	0	0	197	253	0	0	0	0	6	0	5
fsh-generated/resources/CodeSystem-at-prenudge-physical-activity-classification-method-cs.json	1935	3	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	10	40	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-at-prenudge-pss-codes-codesystem.json	1749	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	34	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-at-prenudge-pss-frequency-codesystem.json	1713	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-athis-answers.json	25238	4	0	0	1	0	0	0	3	24	0	0	1	0	0	0	0	1	0	0	84	99	0	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-prenudge-isced-2011-education-level.json	1673	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prenudge-wai-answer.json	833	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prenudge-workability.json	2470	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	23	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-whoqol-bref-scale.json	9131	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0	1
fsh-generated/resources/ConceptMap-AtPrenudgeCodeUnitMap.json	1948	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	1	0	0
fsh-generated/resources/Device-device-wearable-example.json	611	1	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	1	0	0	0
fsh-generated/resources/Observation-alcoholuse-moderate-example.json	948	1	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0
fsh-generated/resources/Observation-alcoholuse-never-example.json	1182	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0
fsh-generated/resources/Observation-alcoholuse-occasional-example.json	1045	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0
