Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	9580	-	0	0	0	0	0	0	5	101	0	0	0	0	0	0	0	1	0	0	125	84	0	0	0	8	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2187	12	1	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	14	0	0	0	0	0	0	1	58	0	0	0	0	0	0	0	2	0	0	27	22	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	11	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	21	16	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6093	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	39	35	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	6	1	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	26	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	26	17	0	0	0	0	0	1
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	15	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	6	5	0	1	0	0	40	0	396	0	0	1	0	0	0	0	1	0	0	190	1768	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	5	1	0	0	0	0	15	0	22	0	0	0	0	0	0	0	0	0	0	69	234	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	4	0	0	0	0	0	22	0	125	0	0	0	0	0	0	0	0	0	0	62	204	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3526	6	5	0	0	0	0	32	0	119	0	0	0	0	0	0	0	0	0	0	129	347	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1785	3	0	0	0	0	0	25	0	8	0	0	1	0	0	0	0	0	0	0	59	193	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4443	4	0	0	0	0	0	118	0	249	0	0	0	0	0	0	0	1	0	0	462	1211	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	9	0	0	0	0	0	214	1	234	0	0	5	0	0	0	0	4	0	0	1384	2386	0	0	0	31	1	3
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	4	0	0	0	0	0	74	0	36	0	0	0	0	0	0	0	4	0	0	439	860	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	2	0	0	0	0	0	26	0	106	0	0	0	0	0	0	0	1	0	0	173	230	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	2	0	0	0	0	0	76	0	29	0	0	0	0	0	0	0	0	0	0	361	706	0	0	0	8	0	1
