Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	10751	-	0	0	0	0	0	0	5	404	0	0	0	0	0	0	0	0	0	0	134	85	0	0	0	4	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2370	18	1	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	6	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	1	0	0	20	20	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	4	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	37	29	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	6	1	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	20	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	5	6	0	0	0	0	33	0	554	0	0	1	0	0	0	0	1	0	0	153	3250	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	5	0	0	0	0	0	8	0	15	0	0	0	0	0	0	0	0	0	0	51	220	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1633	4	0	0	0	0	0	19	0	12	0	0	0	0	0	1	0	0	0	0	52	161	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	4	0	0	0	0	0	16	0	98	0	0	0	0	0	0	0	1	0	0	63	139	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3673	6	4	0	0	0	0	19	0	97	0	0	0	0	0	0	0	0	0	0	149	276	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2223	4	0	0	0	0	0	18	0	5	0	0	0	0	0	0	0	0	0	0	69	129	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	5354	6	1	0	0	0	0	77	0	215	0	0	0	0	0	0	0	2	0	0	538	1241	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	13	0	0	0	0	0	216	0	246	0	0	5	0	0	0	0	5	0	0	1459	2333	0	0	0	28	0	1
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	6	0	0	0	0	0	87	0	36	0	0	1	0	0	0	0	2	0	0	505	829	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	4	0	0	0	0	0	34	0	89	0	0	0	0	0	0	0	0	0	0	155	235	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	4	0	0	1	0	0	60	0	20	0	0	0	0	0	0	0	2	0	0	353	786	0	0	0	16	0	1
