Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	11777	-	0	0	1	0	0	0	13	91	0	0	0	0	0	0	0	1	0	0	90	105	0	0	0	4	0	1
fsh-generated/resources/Location-HL7ATCoreLocationGraz.json	678	3	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/Location-HL7ATCoreLocationLinz.json	576	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2368	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3648	2	0	0	1	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	2	0	0	0	0	0	0	1	427	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6131	3	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3670	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4046	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	3868	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	3	0	31	5	0	0	0	1	427	0	0	1	0	0	0	0	0	0	0	105	794	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	2	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	36	112	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1633	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	2	0	9	1	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	35	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4261	2	0	19	5	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	63	193	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2223	1	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-location.json	3574	2	0	46	1	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	122	542	0	0	1	8	0	1
fsh-generated/resources/StructureDefinition-at-core-organization.json	5096	3	0	69	0	0	0	0	0	154	0	0	0	0	0	0	0	2	0	0	222	420	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	28532	14	0	180	0	0	0	0	0	376	0	0	1	0	0	0	0	4	0	0	668	1029	0	0	0	47	0	4
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	3	0	48	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	276	310	0	0	0	14	1	2
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	1	0	21	0	0	0	0	1	128	0	0	0	0	0	0	0	1	0	0	75	126	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	1	0	65	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	163	189	0	0	0	12	0	1
/input/includes/menu.xml	560	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2023	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-core-patient-notes.md	754	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-core-organization-intro.md	845	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	4717	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-core-practitioner-intro.md	646	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/Shorty.png	8143	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/hl7at.site.logo.png	2602	-	-	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	14552	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
