Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	12024	-	0	0	0	0	0	0	8	395	0	0	0	0	0	0	0	1	0	0	94	85	0	0	0	4	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2369	13	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	12	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	12	0	0	0	0	0	0	1	71	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	10	0	0	1	0	0	0	1	307	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	7	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExampleBart.json	1136	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-HL7ATCoreRelatedPersonExampleHomer.json	2377	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	3	0	34	7	0	0	0	1	656	0	0	0	0	0	0	0	1	0	0	97	447	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	4	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	28	119	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1633	2	0	13	0	0	0	0	0	14	0	0	1	0	0	0	0	1	0	0	31	109	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	3	0	18	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	35	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3673	3	0	33	7	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	82	178	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2223	3	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	5096	4	0	73	0	0	0	0	0	214	0	0	0	0	0	0	0	1	0	0	250	506	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	7	0	279	0	0	0	0	0	512	0	0	0	0	0	0	0	2	0	0	646	1289	0	0	0	43	0	4
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	3	0	53	0	0	0	0	0	36	0	0	1	0	0	0	0	1	0	0	201	437	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	3	0	26	1	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	78	173	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-core-related-person.json	5652	3	0	81	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	215	397	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	3	0	72	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	163	369	0	0	0	12	0	1
