Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	11777	-	0	0	0	0	0	0	13	89	0	0	0	0	0	0	0	1	0	0	82	109	0	0	0	4	0	2
fsh-generated/resources/Location-HL7ATCoreLocationGraz.json	678	3	0	0	1	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/Location-HL7ATCoreLocationLinz.json	576	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2368	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3648	3	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	2	0	0	0	0	0	0	1	1092	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6131	5	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	16	29	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3670	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4046	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	3868	3	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	3	0	31	5	0	0	0	1	100	0	0	0	0	1	0	0	1	0	0	77	709	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	2	0	6	1	0	1	0	0	5	0	0	1	0	1	0	0	0	0	0	26	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1633	1	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	2	0	8	0	0	0	0	0	337	0	0	0	0	1	0	0	0	0	0	32	91	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4261	3	0	17	4	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	62	175	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2223	1	0	7	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	26	78	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-location.json	3574	2	0	37	0	0	0	0	0	63	0	0	0	0	0	0	0	1	0	0	125	291	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	5096	3	0	70	0	0	0	0	0	365	0	0	0	0	1	0	0	1	0	0	224	371	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	28496	12	0	195	0	0	0	1	0	768	0	0	0	0	1	0	0	2	0	0	664	996	0	0	0	44	0	2
