Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-HL7ATCoreProfiles.json	6877	-	1	0	0	0	0	0	5	102	0	0	0	0	0	0	0	0	0	0	124	104	0	0	1	4	0	1
fsh-generated/resources/Organization-Organization-example-f001-burgers.json	1887	18	0	0	0	1	0	0	0	388	0	0	0	0	0	0	0	1	0	0	19	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3833	14	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	25	25	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	15	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6142	18	1	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	36	45	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3830	17	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	25	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6104	17	7	0	0	0	0	79	0	882	0	0	1	0	0	0	0	1	0	0	166	1756	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1647	9	0	0	0	0	0	14	0	22	0	0	0	0	0	0	0	0	0	0	56	171	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3974	11	5	0	0	0	0	75	0	80	0	0	0	0	0	0	0	1	0	0	192	394	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1904	9	0	0	0	0	0	20	0	33	0	0	0	0	0	0	0	0	0	0	49	120	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	26723	44	1	0	0	0	0	643	0	617	0	0	0	0	0	0	0	8	0	0	1553	2185	0	0	0	50	0	3
fsh-generated/resources/StructureDefinition-at-core-valueset.json	3015	11	0	0	0	0	0	191	0	174	0	0	1	0	0	0	0	3	0	0	388	480	0	0	0	16	0	1
