Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-HL7ATCoreProfiles.json	7751	-	0	0	0	0	0	0	7	82	0	0	0	0	0	0	0	1	0	0	136	109	0	0	0	3	0	0
fsh-generated/resources/Organization-Organization-example-f001-burgers.json	1887	12	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3833	20	1	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	25	21	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	18	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6142	20	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	30	32	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3830	16	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4231	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-at-core-address.json	6104	20	8	0	1	0	0	114	0	867	0	0	1	0	0	0	0	1	0	0	201	2898	1	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1647	14	0	0	0	0	0	15	0	19	0	0	0	0	0	0	0	0	0	0	65	202	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3309	17	1	0	0	0	0	22	0	73	0	0	0	0	0	0	0	1	0	0	80	210	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3974	11	6	0	0	0	0	96	0	126	0	0	0	0	0	0	0	0	0	0	217	414	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1904	9	0	0	0	0	0	25	0	22	0	0	0	0	0	0	0	0	0	0	68	142	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	28337	56	0	0	0	0	0	655	1	682	0	0	0	0	0	0	0	2	0	0	1626	3108	0	1	0	47	1	3
fsh-generated/resources/StructureDefinition-at-core-valueset.json	3015	10	0	0	0	0	0	186	0	157	0	0	0	0	0	0	0	1	0	0	435	846	0	0	0	12	0	1
