Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	9580	-	0	0	0	0	0	0	6	67	0	0	0	0	0	0	0	1	0	0	89	96	0	0	1	3	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2187	18	1	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3833	18	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	15	0	0	0	0	0	0	1	334	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6133	6	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	27	23	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3830	6	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4231	6	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	5	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	6	8	0	1	0	0	32	0	695	0	0	0	0	0	0	0	1	0	0	142	3915	0	1	0	10	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1528	5	0	0	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	50	204	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	5	1	0	0	0	0	20	0	51	0	0	0	0	0	0	0	0	0	0	63	158	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3855	6	6	0	0	0	0	39	0	60	0	0	0	0	0	0	0	1	0	0	160	375	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1785	5	0	0	0	0	0	21	0	8	0	0	0	0	0	0	0	0	0	0	49	112	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-core-organization.json	4443	6	0	0	0	0	0	84	0	140	0	0	1	0	0	0	0	3	0	0	451	1199	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	27799	13	1	0	0	0	0	228	0	148	0	0	0	0	0	0	0	5	0	0	1493	1900	0	0	0	42	0	3
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	6	0	0	0	0	0	70	0	48	0	0	0	0	0	0	0	1	0	0	496	851	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	4	0	0	0	0	0	35	0	54	0	0	0	0	0	0	0	0	0	0	189	292	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	5	0	0	0	0	0	68	0	33	0	0	1	0	0	0	0	1	0	0	357	720	0	0	0	11	1	1
