Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	9580	-	0	0	0	0	0	0	6	361	0	0	0	0	0	0	0	0	0	0	108	86	0	0	0	4	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2187	12	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	17	0	0	0	0	0	0	1	74	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	15	1	0	0	0	0	0	1	144	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6093	10	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	33	24	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3817	6	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	5	8	0	1	0	0	29	0	813	0	0	1	0	0	0	0	1	0	0	138	3443	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1528	5	0	0	0	0	0	14	0	21	0	0	0	0	0	0	0	0	0	0	61	233	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	4	0	1	0	0	0	24	0	39	0	0	0	0	0	0	0	0	0	0	62	189	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3526	6	6	0	0	0	0	26	0	53	0	0	0	0	0	0	0	1	0	0	125	291	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1785	4	0	0	0	0	0	19	0	5	0	0	0	0	0	0	0	0	0	0	54	138	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4443	6	0	0	0	0	0	100	0	101	0	0	0	0	0	0	0	2	0	0	557	1227	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	11	1	0	0	0	0	217	1	159	0	0	1	0	0	0	0	5	0	0	1404	2723	0	0	0	51	0	3
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	6	0	0	0	0	0	59	0	38	0	0	0	0	0	0	0	1	0	0	476	837	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	4	0	0	0	0	0	34	0	63	0	0	0	0	0	0	0	1	0	0	153	304	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	5	0	0	0	0	0	67	0	19	0	0	0	0	0	0	0	2	0	0	351	518	0	0	0	17	0	1
