Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	10751	-	0	0	0	0	0	0	4	478	0	0	0	0	0	0	0	0	0	0	90	74	0	0	0	4	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2369	12	0	0	1	0	0	0	0	325	0	0	0	0	0	0	0	1	0	0	17	18	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	15	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	12	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	12	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	14	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	25	27	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	16	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	15	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	17	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	15	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	16	0	37	8	0	0	0	1	355	0	0	1	0	0	0	0	1	0	0	112	321	0	0	0	8	1	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	12	0	10	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	47	143	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1633	15	0	17	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	41	137	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	15	0	15	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	46	130	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3673	15	0	23	5	0	0	0	0	269	0	0	0	0	0	0	0	1	0	0	80	223	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2223	11	0	18	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	32	120	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	5096	13	0	98	0	0	0	0	0	280	0	0	0	0	0	0	0	1	0	0	250	542	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	17	0	198	1	0	0	0	0	588	0	0	1	0	0	0	0	3	0	0	757	1099	0	0	0	45	0	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	12	0	60	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	278	361	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	11	0	26	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	100	155	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	12	0	75	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	182	293	0	0	0	12	0	1
