Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	9580	-	0	0	0	0	0	0	6	115	0	0	0	0	0	0	0	1	0	0	115	75	0	0	0	4	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2187	8	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	6	0	0	0	0	0	0	1	62	0	0	0	0	0	0	0	2	0	0	26	16	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	5	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6093	6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	27	27	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3817	5	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	5	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	5	6	0	0	0	0	26	0	411	0	0	1	0	0	0	0	0	0	0	140	1705	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1528	4	0	0	0	0	0	9	0	21	0	0	0	0	0	0	0	1	0	0	62	214	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3354	4	0	0	0	0	0	13	0	62	0	0	0	0	0	0	0	0	0	0	74	179	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3526	4	4	0	0	0	0	19	0	67	0	0	0	0	0	0	0	0	0	0	139	277	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1785	4	0	0	0	0	0	20	0	21	0	0	0	0	0	0	0	0	0	0	51	156	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4443	5	0	0	0	0	0	91	0	110	0	0	0	0	0	0	0	1	0	0	450	1227	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	12	0	0	0	0	0	198	1	151	0	0	5	0	0	0	0	2	0	0	1382	2505	0	0	0	42	0	1
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	5	0	0	0	0	0	79	0	38	0	0	1	0	0	0	0	7	0	0	411	800	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1577	4	0	0	0	0	0	38	0	51	0	0	0	0	0	0	0	0	0	0	146	310	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2506	4	0	0	0	0	0	75	0	29	0	0	0	0	0	0	0	2	0	0	344	707	0	1	0	12	0	1
