Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	12570	-	0	0	0	0	0	0	12	101	0	0	0	0	0	0	0	0	0	0	86	158	0	0	0	5	0	2
fsh-generated/resources/Location-HL7ATCoreLocationGraz.json	678	4	0	0	1	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/Location-HL7ATCoreLocationLinz.json	576	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2368	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3656	2	0	0	0	0	0	0	1	61	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2539	2	0	0	0	0	0	0	1	1056	0	0	0	0	0	0	0	1	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1662	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6139	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	18	29	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3678	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4054	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	3876	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1625	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	3	0	28	7	0	0	0	1	834	0	0	0	0	1	0	0	0	0	0	102	762	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1685	2	0	6	0	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	34	117	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1633	1	0	4	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	31	100	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3364	2	0	9	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	39	97	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4578	3	0	17	6	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	64	189	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2223	2	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-location.json	3574	2	0	41	1	0	0	0	0	28	0	0	0	0	1	0	0	1	0	0	124	330	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-at-core-organization.json	5096	3	0	73	0	0	0	0	0	331	0	0	0	0	0	0	0	1	0	0	226	355	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-at-core-patient-base.json	29251	15	0	215	0	0	0	0	0	708	0	0	1	0	0	0	0	2	0	0	781	1265	0	1	0	48	0	4
fsh-generated/resources/StructureDefinition-at-core-patient-primary.json	866	2	0	187	0	0	0	0	0	94	0	0	0	0	1	0	0	3	0	0	512	647	0	0	0	34	1	3
fsh-generated/resources/StructureDefinition-at-core-patient-secondary.json	746	2	0	128	0	0	0	0	0	51	0	0	1	0	0	0	0	3	0	0	426	535	0	0	0	38	0	4
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	3	0	45	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	197	198	0	0	0	13	0	1
