URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrable-dose-form,5.0.0,active,"2.16.840.1.113883.4.642.4.2032",AdministrableDoseForm,Administrable Dose Form,"Dose form for a medication, in the form suitable for administering to the patient, after mixing, where necessary.","ValueSet/administrable-dose-form"
http://hl7.org/fhir/animal-tissue-type,5.0.0,active,"2.16.840.1.113883.4.642.4.2033",AnimalTissueType,Animal Tissue Type,"A tissue type of an animal.","ValueSet/animal-tissue-type"
http://hl7.org/fhir/combined-dose-form,5.0.0,active,"2.16.840.1.113883.4.642.4.1923",CombinedDoseForm,Combined Dose Form,"Dose forms for a product as a whole, considering all individual parts, but before any mixing","ValueSet/combined-dose-form"
http://hl7.org/fhir/fhir-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1802",FHIRTypes,All FHIR Types,"One of the types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/ingredient-function,5.0.0,active,"2.16.840.1.113883.4.642.4.2079",IngredientFunction,Ingredient Function,"A classification of the ingredient identifying its precise purpose(s) in the drug product (beyond e.g. active/inactive).","ValueSet/ingredient-function"
http://hl7.org/fhir/ingredient-manufacturer-role,5.0.0,active,"2.16.840.1.113883.4.642.4.2078",IngredientManufacturerRole,Ingredient Manufacturer Role,"The way in which this manufacturer is associated with the ingredient. For example whether it is a possible one (others allowed), or an exclusive authorized one for this ingredient. Note that this is not the manufacturing process role","ValueSet/ingredient-manufacturer-role"
http://hl7.org/fhir/ingredient-role,5.0.0,active,"2.16.840.1.113883.4.642.4.2080",IngredientRole,Ingredient Role,"A classification of the ingredient identifying its purpose within the product, e.g. active, inactive.","ValueSet/ingredient-role"
http://hl7.org/fhir/legal-status-of-supply,5.0.0,active,"2.16.840.1.113883.4.642.4.1912",LegalStatusOfSupply,Legal Status Of Supply,"The prescription supply types appropriate to a medicinal product","ValueSet/legal-status-of-supply"
http://hl7.org/fhir/medicinal-product-additional-monitoring,5.0.0,active,"2.16.840.1.113883.4.642.4.1919",AdditionalMonitoring,Additional Monitoring,"Extra monitoring defined for a Medicinal Product.","ValueSet/medicinal-product-additional-monitoring"
http://hl7.org/fhir/medicinal-product-confidentiality,5.0.0,active,"2.16.840.1.113883.4.642.4.1913",ProductConfidentiality,Product Confidentiality,"Confidentiality rating, e.g. commercial sensitivity for a Medicinal Product.","ValueSet/medicinal-product-confidentiality"
http://hl7.org/fhir/medicinal-product-contact-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1925",ProductContactType,Product Contact Type,"Contact type for a Medicinal Product.","ValueSet/medicinal-product-contact-type"
http://hl7.org/fhir/medicinal-product-cross-reference-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1921",ProductCrossReferenceType,Product Cross Reference Type,"Relationship to another Medicinal Product.","ValueSet/medicinal-product-cross-reference-type"
http://hl7.org/fhir/medicinal-product-domain,5.0.0,active,"2.16.840.1.113883.4.642.4.1917",MedicinalProductDomain,Medicinal Product Domain,"Applicable domain for this product (e.g. human, veterinary).","ValueSet/medicinal-product-domain"
http://hl7.org/fhir/medicinal-product-name-part-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1924",ProductNamePartType,Product Name Part Type,"Type of part of a name for a Medicinal Product.","ValueSet/medicinal-product-name-part-type"
http://hl7.org/fhir/medicinal-product-name-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1922",ProductNameType,Product Name Type,"Type of a name for a Medicinal Product.","ValueSet/medicinal-product-name-type"
http://hl7.org/fhir/medicinal-product-package-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1918",MedicinalProductPackageType,Medicinal Product Package Type,"Types of medicinal product packs","ValueSet/medicinal-product-package-type"
http://hl7.org/fhir/medicinal-product-pediatric-use,5.0.0,active,"2.16.840.1.113883.4.642.4.1914",PediatricUse,Pediatric Use,"Suitability for age groups, in particular children.","ValueSet/medicinal-product-pediatric-use"
http://hl7.org/fhir/medicinal-product-special-measures,5.0.0,active,"2.16.840.1.113883.4.642.4.1915",SpecialMeasures,Special Measures,"Extra measures defined for a Medicinal Product, such as requirement to conduct post-authorization studies.","ValueSet/medicinal-product-special-measures"
http://hl7.org/fhir/medicinal-product-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1916",MedicinalProductType,Medicinal Product Type,"Overall defining type of this Medicinal Product.","ValueSet/medicinal-product-type"
http://hl7.org/fhir/package-material,5.0.0,active,"2.16.840.1.113883.4.642.4.1964",PackageMaterial,Package Material,"A material used in the construction of packages and their components.","ValueSet/package-material"
http://hl7.org/fhir/package-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1963",PackageType,Package Type,"A high level categorisation of a package.","ValueSet/package-type"
http://hl7.org/fhir/packaging-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1966",PackagingType,Packaging Type,"A type of packaging.","ValueSet/packaging-type"
http://hl7.org/fhir/product-intended-use,5.0.0,active,"2.16.840.1.113883.4.642.4.1908",ProductIntendedUse,Product Intended Use,"ProductIntendedUse","ValueSet/product-intended-use"
http://hl7.org/fhir/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/quantity-comparator,5.0.0,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/regulated-authorization-basis,5.0.0,active,"2.16.840.1.113883.4.642.4.1907",RegulatedAuthorizationBasis,Regulated Authorization Basis,"RegulatedAuthorizationBasis","ValueSet/regulated-authorization-basis"
http://hl7.org/fhir/regulated-authorization-case-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1910",RegulatedAuthorizationCaseType,Regulated Authorization Case Type,"RegulatedAuthorizationCaseType","ValueSet/regulated-authorization-case-type"
http://hl7.org/fhir/regulated-authorization-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1909",RegulatedAuthorizationType,Regulated Authorization Type,"RegulatedAuthorizationType","ValueSet/regulated-authorization-type"
http://hl7.org/fhir/target-species,5.0.0,active,"2.16.840.1.113883.4.642.4.2030",TargetSpecies,Target Species,"A species for which a medicinal product is intended.","ValueSet/target-species"
http://hl7.org/fhir/unit-of-presentation,5.0.0,active,"2.16.840.1.113883.4.642.4.2031",UnitOfPresentation,Unit Of Presentation,"The presentation type in which an administrable medicinal product is given to a patient.","ValueSet/unit-of-presentation"
http://terminology.hl7.org/CodeSystem/v2-0203,4.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://www.whocc.no/atc,2.0.1,active,"2.16.840.1.113883.6.73",WC,WHO ATC,"WHO ATC","ValueSet/medicinal-product-classification"
https://spor.ema.europa.eu/v1/lists/100000000004,0.1.0,active,,DomainCs,Domain,"Domain","ValueSet/domainVs"
