URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/account-aggregate,5.0.0,active,"2.16.840.1.113883.4.642.4.2065",AccountAggregate,Account Aggregate,"Indicates who is expected to pay a part of the account balance.","ValueSet/account-aggregate"
http://hl7.org/fhir/account-balance-term,5.0.0,active,"2.16.840.1.113883.4.642.4.2064",AccountBalanceTerm,Account Balance Term,"Indicates the account balance's age","ValueSet/account-balance-term"
http://hl7.org/fhir/account-billing-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2063",AccountBillingStatus,Example Account Billing Statuses,"Indicates whether the account is available to be used for billing purposes.","ValueSet/account-billing-status"
http://hl7.org/fhir/account-relationship,5.0.0,active,"2.16.840.1.113883.4.642.4.2066",AccountRelationship,Account Relationship,"Relationship between accounts","ValueSet/account-relationship"
http://hl7.org/fhir/account-status,5.0.0,active,"2.16.840.1.113883.4.642.2.362,2.16.840.1.113883.4.642.4.727,2.16.840.1.113883.4.642.1.715",AccountStatus,Account Status,"Indicates whether the account is available to be used.","ValueSet/account-status"
http://hl7.org/fhir/claim-decision,5.0.0,active,"2.16.840.1.113883.4.642.4.1896",ClaimAdjudicationDecisionCodes,Claim Adjudication Decision Codes,"This value set provides Claim Adjudication Decision codes.","ValueSet/claim-decision"
http://hl7.org/fhir/claim-decision-reason,5.0.0,active,,ClaimAdjudicationDecisionReasonCodes,Claim Adjudication Decision Reason Codes,"This value set provides example Claim Adjudication Decision Reason codes.","ValueSet/claim-decision-reason"
http://hl7.org/fhir/claim-outcome,5.0.0,active,"2.16.840.1.113883.4.642.4.1897",ClaimProcessingOutcomeCodes,Claim Processing Outcome Codes,"This value set includes Claim Processing Outcome codes.","ValueSet/claim-outcome"
http://hl7.org/fhir/claim-use,5.0.0,active,"2.16.840.1.113883.4.642.1.537,2.16.840.1.113883.4.642.4.545",Use,Use,"The purpose of the Claim: predetermination, preauthorization, claim.","ValueSet/claim-use"
http://hl7.org/fhir/coverage-kind,5.0.0,active,"2.16.840.1.113883.4.642.4.2077",Kind,Kind,"The nature of the Coverage details which convey who is paying potentially for health services.","ValueSet/coverage-kind"
