Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	26698	-	0	0	0	0	0	0	5	337	0	0	0	0	0	0	0	1	0	0	150	146	0	0	1	5	0	0
fsh-generated/resources/StructureDefinition-Leistungskomponente-Leistungspunkte.json	2279	8	1	0	0	1	0	16	0	912	0	0	1	0	0	0	0	0	0	0	100	3887	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-MOPEDAccount.json	5208	7	0	0	0	0	0	105	0	181	0	0	0	0	0	0	0	2	0	0	398	1634	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-MOPEDClaim.json	10584	8	0	0	0	0	0	341	0	239	0	0	1	0	0	0	0	2	0	0	745	2130	0	0	0	21	0	3
fsh-generated/resources/StructureDefinition-MOPEDClaimResponse.json	13379	12	0	0	0	0	0	165	0	151	0	0	0	0	0	0	0	1	0	0	805	2068	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-MOPEDCoverage.json	4555	7	0	0	0	0	0	77	0	242	0	0	0	0	0	0	0	1	0	0	433	806	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityRequest.json	2900	3	1	0	0	0	0	58	0	11	0	0	1	0	0	0	0	1	0	0	258	390	0	1	0	6	0	1
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityResponse.json	3058	3	0	0	0	0	0	56	0	151	0	0	0	0	0	0	0	1	0	0	318	346	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MOPEDEncounter.json	6614	5	0	0	0	0	0	23	0	92	0	0	0	0	0	0	0	1	0	0	487	792	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-MOPEDOrganizationAbteilung.json	2682	4	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	153	296	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-MOPEDTransferEncounter.json	2860	3	0	0	0	0	0	20	0	11	0	0	0	0	0	0	0	1	0	0	292	529	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-Plausibilitaetskennzeichen.json	1627	3	1	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	48	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Punkte-Belagsdauerausreisser-unten-Leistungskomponente.json	2587	6	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	85	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Punkte-Belagsdauerausreisser-unten-Tageskomponente.json	2551	6	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	86	122	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Punkte-spezieller-Bereiche-tageweise.json	2582	6	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	89	118	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-SVAbrechnungsquartal.json	2295	13	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	105	145	0	0	0	2	0	0
