Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	43892	-	0	0	0	0	0	0	9	93	0	0	0	0	0	0	0	1	0	0	215	254	0	0	0	0	9	0	1
fsh-generated/resources/Account-Test1Account.json	1057	9	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
fsh-generated/resources/Account-Test2Account.json	1303	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Test1Condition1.json	1077	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Test2Condition1.json	1133	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Test2Condition2.json	1133	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-Test1MOPEDCoverage.json	601	4	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-Test2SVCCoverage.json	659	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/CoverageEligibilityRequest-Test1MOPEDCoverageEligibilityRequest1.json	990	4	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/CoverageEligibilityRequest-Test2MOPEDCoverageEligibilityRequest1.json	861	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0
fsh-generated/resources/CoverageEligibilityResponse-Test1MOPEDCoverageEligibilityResponse1.json	1483	5	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0
fsh-generated/resources/CoverageEligibilityResponse-Test2MOPEDCoverageEligibilityResponse1.json	1483	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test1MOPEDEncounter.json	2315	9	0	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test1MOPEDEncounterBasis.json	2611	6	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test1MOPEDEncounterBund.json	1834	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	14	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test1MOPEDEncounterLGF.json	1805	6	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test1MOPEDEncounterSV.json	1694	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0	1
fsh-generated/resources/Encounter-Test1TransferEncounter1.json	744	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test2MOPEDEncounter1.json	2884	5	1	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test2TransferEncounter1.json	744	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test2TransferEncounter2.json	974	3	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test2TransferEncounter3.json	784	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test2TransferEncounter4.json	744	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Test2TransferEncounter5.json	744	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.ClaimResponse.Auffordern.json	3321	14	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	22	9	0	0	1	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.ClaimResponse.Freigeben.json	3118	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.CoverageEligibilityRequest.Anfragen.json	5431	5	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	26	7	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Encounter.Abrechnen.json	4474	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	5	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Encounter.erfassen.json	4185	5	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Aufnehmen.json	9871	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	46	6	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Beurlauben.json	1680	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Entlassen.json	5521	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	6	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Verlegen.json	7489	6	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	35	6	0	0	0	0	1	0	0
fsh-generated/resources/Organization-Test1OrganizationAbteilung1.json	1157	6	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test1OrganizationHerzJesuKrankenhaus.json	1294	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test1OrganizationInsurance1.json	959	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test1OrganizationUeberweisendeOrganisation.json	420	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationAbteilung1.json	495	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationAbteilung2.json	495	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationAbteilung3.json	495	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationAbteilung4.json	495	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationInsurance1.json	967	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	8	5	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationKrankenhausRied.json	1373	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0
fsh-generated/resources/Organization-Test2OrganizationUeberweisendeOrganisation.json	329	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Test1Patient.json	1445	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Test1PatientBund.json	1293	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Test1PatientLGF.json	1320	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Test1PatientOhneMaskierung.json	2058	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Test1PatientSV.json	1818	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Test2Patient.json	1462	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
fsh-generated/resources/Procedure-Test2Procedure1.json	1000	8	0	0	0	0	0	0	1	164	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-SAPS3Questionnaire.json	39846	20	1	0	0	0	0	0	1	64	0	0	0	0	0	0	0	0	0	0	400	118	0	0	0	0	9	0	1
fsh-generated/resources/Questionnaire-ka-statistik-k03.json	3923	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	128	39	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ka-statistik-k05.json	2311	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	69	23	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-tiss-a-questionnaire.json	10056	8	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	179	50	0	0	0	0	3	0	0
fsh-generated/resources/QuestionnaireResponse-Test2SAPS3QuestionnaireResponse1.json	19937	16	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	263	35	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-tiss-a-questionnaireresponse.json	5830	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	133	21	1	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Hauptversicherter.json	637	6	0	0	1	0	0	28	0	18	0	0	1	0	0	0	0	1	0	0	116	2737	0	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-MOPEDAccount.json	4694	8	0	0	0	0	0	119	0	35	0	0	0	0	0	0	0	3	0	0	300	961	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-MOPEDAufnahmeBundle.json	4864	7	1	0	0	0	0	391	0	62	0	0	0	0	0	0	0	5	0	0	759	2534	0	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-MOPEDClaim.json	8016	10	0	0	0	0	0	206	0	610	0	0	1	0	0	0	0	5	0	0	715	1683	0	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-MOPEDClaimResponse.json	9631	10	0	0	0	0	0	181	0	119	0	0	0	0	0	0	0	6	0	0	807	1657	0	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-MOPEDCondition.json	4173	8	0	0	0	0	0	67	0	177	0	0	0	0	0	0	0	2	0	0	355	534	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-MOPEDCoverage.json	3688	8	0	0	0	0	0	26	0	89	0	0	1	0	0	0	0	3	0	0	333	624	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityRequest.json	2876	6	0	0	0	0	0	50	0	15	0	0	0	0	0	0	0	1	0	0	246	314	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityResponse.json	3450	6	1	0	0	0	0	54	0	160	0	0	0	0	0	0	0	2	0	0	279	447	0	0	0	1	5	0	0
fsh-generated/resources/StructureDefinition-MOPEDEncounter.json	9069	10	0	0	0	0	0	29	0	116	0	0	0	0	0	0	0	5	0	0	630	1164	0	0	1	0	10	0	1
fsh-generated/resources/StructureDefinition-MOPEDEncounterBund.json	1026	5	0	0	0	0	0	31	0	18	0	0	0	0	0	0	0	4	0	0	462	688	0	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-MOPEDEncounterKH.json	708	5	0	0	0	0	0	27	0	68	0	0	1	0	0	0	0	4	0	0	446	501	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-MOPEDEncounterLGF.json	1019	5	0	0	0	0	0	30	0	18	0	0	0	0	0	0	0	4	0	0	464	440	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-MOPEDEncounterSV.json	1456	3	0	0	0	0	0	32	0	16	0	0	0	0	0	0	0	4	0	0	484	796	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-MOPEDOrganizationAbteilung.json	3104	4	0	0	0	0	0	12	0	18	0	0	0	0	0	0	0	2	0	0	214	383	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-MOPEDPatientBund.json	2154	4	0	0	0	0	0	170	0	31	0	0	1	0	0	0	0	8	0	0	854	1142	0	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-MOPEDPatientLGF.json	2041	3	0	0	0	0	0	129	0	29	0	0	0	0	0	0	0	8	0	0	841	1365	0	0	0	0	15	1	2
fsh-generated/resources/StructureDefinition-MOPEDPatientSV.json	948	3	1	0	0	0	0	74	0	29	0	0	1	0	0	0	0	8	0	0	832	1022	0	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-MOPEDProcedure.json	3321	4	0	0	0	0	0	25	0	14	0	0	0	0	0	0	0	3	0	0	314	305	0	0	0	0	6	0	0
