Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	42937	-	0	0	0	0	0	0	9	183	0	0	0	0	0	0	0	1	0	0	205	168	0	0	0	13	0	2
fsh-generated/resources/OperationDefinition-MOPED.ClaimResponse.Auffordern.json	3258	17	1	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	25	12	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.ClaimResponse.Freigeben.json	3055	8	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.CoverageEligibilityRequest.Anfragen.json	5100	6	0	0	0	0	0	0	1	59	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Encounter.Abrechnen.json	4539	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	25	8	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Encounter.erfassen.json	4185	7	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	6	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Aufnehmen.json	9674	10	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	63	9	0	0	0	1	0	1
fsh-generated/resources/OperationDefinition-MOPED.Patient.Entlassen.json	5409	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	7	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Verlegen.json	7130	7	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	34	6	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MOPEDAccount.json	5056	9	0	0	0	0	0	83	0	48	0	0	0	0	0	0	0	2	0	0	325	3949	0	0	0	13	1	3
fsh-generated/resources/StructureDefinition-MOPEDAufnahmeBundle.json	4238	9	0	0	0	0	0	190	0	26	0	0	1	0	0	0	0	3	0	0	659	2328	0	0	0	17	0	6
fsh-generated/resources/StructureDefinition-MOPEDClaim.json	7862	12	0	0	0	0	0	192	0	903	0	0	0	0	0	0	0	2	0	0	693	1737	0	0	0	22	0	4
fsh-generated/resources/StructureDefinition-MOPEDClaimResponse.json	10795	13	0	0	0	0	0	137	0	79	0	0	1	0	0	0	0	3	0	0	821	1846	0	0	0	21	0	2
fsh-generated/resources/StructureDefinition-MOPEDCondition.json	4173	9	0	0	0	0	0	91	0	70	0	0	0	0	0	0	0	1	0	0	364	546	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityRequest.json	2859	7	0	0	0	0	0	50	0	14	0	0	0	0	0	0	0	0	0	0	255	491	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityResponse.json	3418	9	1	0	0	0	0	64	0	69	0	0	0	0	0	0	0	1	0	0	288	412	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-MOPEDEncounter.json	8925	13	0	0	0	0	0	60	0	68	0	0	0	0	0	0	0	1	0	0	697	1071	0	1	0	16	0	2
fsh-generated/resources/StructureDefinition-MOPEDOrganizationAbteilung.json	3225	9	0	0	0	0	0	16	0	71	0	0	1	0	0	0	0	1	0	0	246	471	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-MOPEDProcedure.json	3321	9	0	0	0	0	0	38	0	17	0	0	0	0	0	0	0	0	0	0	349	470	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-MOPEDTransferEncounter.json	3626	9	0	0	0	0	0	27	0	14	0	0	0	0	0	0	0	1	0	0	310	624	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-Plausibilitaetskennzeichen.json	1627	7	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	49	109	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SVAbrechnungsquartal.json	2295	7	1	0	0	0	0	19	0	6	0	0	0	0	0	0	0	0	0	0	108	187	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SVCCoverage.json	4547	9	0	0	0	0	0	37	0	102	0	0	0	0	0	0	0	1	0	0	395	750	0	0	0	25	0	1
fsh-generated/resources/StructureDefinition-ecard-anspruch-kostenanteilbefreit.json	2151	7	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	51	152	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ecard-anspruch-rezeptgebbefreit.json	2279	8	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0	50	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-lkfPunkte.json	13776	14	0	0	0	0	0	20	0	31	0	0	0	0	0	0	0	1	0	0	351	343	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-moped-ext-AbrechnungsRelevanz.json	1921	8	0	0	0	0	0	12	0	14	0	0	0	0	0	0	0	0	0	0	51	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Altersgruppe.json	1938	7	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	0	81	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-AnzahlBeurlaubungen.json	1920	7	0	0	0	0	0	12	0	11	0	0	0	0	0	0	0	0	0	0	83	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-AnzahlSonderleistungen.json	1958	7	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	81	112	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-AnzahlVerlegungen.json	1904	7	1	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	85	88	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Beihilfenaequivalent.json	1930	6	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	81	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-ClaimRef.json	1546	7	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	1	0	0	46	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-CoverageEligibilityRequestRef.json	1735	6	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	49	72	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-moped-ext-EndOfEligibility.json	2229	5	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	48	91	0	0	1	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-ErrorWarning.json	4337	10	0	0	0	0	0	4	0	19	0	0	0	0	0	0	0	0	0	0	147	122	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-moped-ext-ForderungsbetragAuslaenderverrechnungRegress.json	2152	6	1	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	83	79	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-moped-ext-KonstenmeldungARK.json	1863	7	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	50	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Kostenstelle.json	5721	9	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	0	0	179	125	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-moped-ext-LDFBetragNetto.json	2204	7	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	88	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-LDFPunktewertNetto.json	1910	4	0	0	1	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	83	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-MealCostExcemption.json	1643	3	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	1	0	0	48	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Neugeborenes.json	1612	3	1	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	50	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-NumberOfPreviouslyPaidDays.json	3727	3	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	95	73	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Patientenanteil.json	1966	4	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	87	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-PatientenanteilAngehoerige.json	2094	3	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	82	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-PremiumClass.json	1609	4	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	48	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-PunkteLDFPauschale.json	1910	3	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	81	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-RechnungsnummerKHLGF.json	2099	5	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	81	101	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-moped-ext-Sonderleistungsnummer.json	1664	3	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	49	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-TageOhneKostenbeitrag.json	2050	3	1	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	82	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-VerdachtArbeitsSchuelerunfall.json	1868	3	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	50	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-VerdachtFremdverschulden.json	1958	4	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	1	0	0	83	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-diagnosisRelatedNode.json	1943	3	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	50	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-extensionDays.json	1952	5	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	81	93	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-moped-ext-fondsrelevanz.json	1732	3	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	48	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-physischeAnwesenheit.json	1904	4	0	0	0	0	0	4	1	8	0	0	0	0	0	0	0	0	0	0	81	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-transportart.json	1661	3	1	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	51	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-unfalldatum.json	1467	4	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	47	80	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-moped-ext-vaestatus.json	1596	3	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	49	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-vdasid.json	3067	3	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	87	95	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-moped-ext-workflow-status.json	1865	3	1	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	50	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-zugangsart.json	1649	3	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	48	72	0	0	0	2	0	0
fsh-generated/resources/ValueSet-moped-AbrechnungsRelevanz-valueset.json	974	3	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	10	3561	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-Fondsrelevanz-valueset.json	1029	3	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	10	206	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-KostenmeldungARK-valueset.json	735	3	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	9	217	0	1	0	0	0	0
fsh-generated/resources/ValueSet-moped-LKFAbrechnungsGruppe-valueset.json	2201	2	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	14	210	0	0	0	1	0	0
fsh-generated/resources/ValueSet-moped-LKFAbrechnungsKnoten-valueset.json	1056	3	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	10	177	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-LKFHauptdiagnosegruppen-valueset.json	731	3	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	9	229	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-LKFmedizinischeEinzelleistungen-valueset.json	824	2	0	0	0	0	0	0	1	188	0	0	0	0	0	0	0	0	0	0	9	179	0	0	0	1	0	1
fsh-generated/resources/ValueSet-moped-Sonderklasse-valueset.json	600	3	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	9	193	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-VAEStatus-valueset.json	3296	3	1	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	17	178	0	0	0	1	0	0
fsh-generated/resources/ValueSet-moped-VerdachtArbeitsSchuelerunfall-valueset.json	1125	2	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	10	184	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-VerpflegskostenBeitragsbefreiung-valueset.json	1155	3	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	11	204	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-WorkflowStatus-valueset.json	326	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	40	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-abgangsart-valueset.json	812	3	0	0	0	0	0	0	1	159	0	0	0	0	0	0	0	0	0	0	9	192	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-aufnahmeart-valueset.json	957	2	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	10	201	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-behandlungsart-valueset.json	702	3	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	9	191	0	0	0	1	0	0
fsh-generated/resources/ValueSet-moped-entlassungsart-valueset.json	3939	3	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	19	217	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-sonderleistungsnummern-valueset.json	805	2	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	10	186	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-transportart-valueset.json	1054	3	0	0	0	0	0	0	1	134	0	0	0	0	0	0	0	0	0	0	10	188	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-ursache-valueset.json	3546	3	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	1	0	0	17	204	0	0	0	1	0	0
fsh-generated/resources/ValueSet-moped-zugangsart-valueset.json	3570	3	1	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	18	212	0	0	0	0	0	0
