Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-elga.moped.json	29078	-	0	0	0	0	0	0	4	68	0	0	0	0	0	0	0	1	0	0	96	180	0	0	0	5	0	1
fsh-generated/resources/OperationDefinition-MOPED.ClaimResponse.Freigeben.json	3131	12	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Encounter.Abrechnen.json	4571	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	13	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Encounter.erfassen.json	4336	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.MopedLKFResponse.Auffordern.json	3538	7	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	18	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.MopedVAEResponse.Beantworten.json	2500	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Aufnehmen.json	9425	6	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	31	16	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Entlassen.json	5335	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	19	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Verlegen.json	8546	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	18	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.VAERequest.Anfragen.json	6722	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	28	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Hauptversicherter.json	3660	14	0	68	0	0	1	0	0	832	0	0	1	0	0	0	0	1	0	0	194	2581	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-MopedAccount.json	3068	8	0	90	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	142	849	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-MopedAufnahmeBundle.json	4208	6	0	237	0	0	0	0	0	26	0	0	0	0	0	0	0	3	0	0	322	1569	0	0	0	20	1	1
fsh-generated/resources/StructureDefinition-MopedCondition.json	4579	7	0	48	0	0	0	0	0	148	0	0	0	0	0	0	0	1	0	0	210	2415	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-MopedCoverage.json	4011	6	0	27	1	0	0	0	0	132	0	0	1	0	0	0	0	1	0	0	182	586	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-MopedEncounter.json	9537	8	0	89	0	0	0	0	0	161	0	0	0	0	0	0	0	3	0	0	402	760	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-MopedEncounterBund.json	1032	6	0	42	0	0	0	0	0	25	0	0	0	0	0	0	0	2	0	0	294	601	0	0	0	23	0	2
fsh-generated/resources/StructureDefinition-MopedEncounterLGF.json	1025	6	0	69	0	0	0	0	0	24	0	0	0	0	0	0	0	2	0	0	286	632	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-MopedEncounterSV.json	1464	5	0	55	0	0	0	0	0	24	0	0	1	0	0	0	0	3	0	0	280	579	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-MopedLKFRequest.json	8479	8	0	197	0	0	0	0	0	71	0	0	0	0	0	0	0	2	0	0	344	771	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-MopedLKFResponse.json	9707	9	0	146	0	0	0	0	0	38	0	0	1	0	0	0	0	3	0	0	375	993	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-MopedOrganizationAbteilung.json	3110	7	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	112	294	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-MopedPatientBund.json	2573	6	0	125	0	0	0	0	0	33	0	0	0	0	0	0	0	4	0	0	430	1236	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-MopedPatientLGF.json	2460	6	0	121	29	0	0	0	0	30	0	0	1	0	0	0	0	4	0	0	426	754	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-MopedPatientSV.json	951	5	0	92	1	0	0	0	0	30	0	0	0	0	0	0	0	4	0	0	408	879	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-MopedProcedure.json	4568	7	0	31	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	208	349	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-MopedTransferEncounter.json	3143	6	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	148	301	0	0	0	28	0	0
fsh-generated/resources/StructureDefinition-MopedVAERequest.json	7031	7	0	66	0	0	0	0	0	29	0	0	1	0	0	0	0	3	0	0	349	678	0	1	0	15	0	1
fsh-generated/resources/StructureDefinition-MopedVAEResponse.json	5354	7	0	81	0	0	0	0	0	73	0	0	0	0	0	0	0	2	0	0	332	729	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-Plausibilitaetskennzeichen.json	1689	6	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	31	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SVAbrechnungsquartal.json	2357	5	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	57	136	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-AbrechnungsRelevanz.json	1986	6	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	86	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-moped-ext-AnzahlBeurlaubungen.json	1929	6	0	6	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	46	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-AnzahlSonderleistungen.json	1965	11	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	45	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-AnzahlVerlegungen.json	1913	12	0	9	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	49	81	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-moped-ext-Beihilfenaequivalent.json	1937	12	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	46	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-ForderungsbetragAuslaenderverrechnungRegress.json	2159	10	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	47	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-KonstenmeldungARK.json	1873	5	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	31	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Kostenstelle.json	5109	6	0	6	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	89	114	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-LDFBetragNetto.json	2211	6	0	4	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	46	110	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-LDFPunktewertNetto.json	1917	9	0	5	1	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	48	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-LKFPunkte.json	11438	13	0	11	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	166	193	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Patientenanteil.json	1973	9	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	46	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-PatientenanteilAngehoerige.json	2101	5	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	47	79	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-moped-ext-PunkteLDFPauschale.json	1917	6	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-RechnungsnummerKHLGF.json	2106	6	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	46	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-Sonderleistungsnummer.json	1697	5	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	62	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-moped-ext-TageOhneKostenbeitrag.json	2059	6	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	46	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-altersgruppe.json	4692	11	0	6	0	0	0	0	0	25	0	0	1	0	0	0	0	1	0	0	76	128	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-aufnahmeart.json	1671	7	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	31	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-diagnoseKnoten.json	2140	8	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-fehlerWarnung.json	4055	6	0	6	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	75	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-fondsrelevanz.json	1797	5	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	30	70	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-moped-ext-sonderklasse.json	1670	6	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-transportart.json	1673	5	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-unfalldatum.json	1476	5	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	60	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-moped-ext-vdasid.json	3130	6	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	48	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-moped-ext-verlaengerungstage.json	1944	5	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	46	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-verpflegskostenBeitragsbefreiung.json	1789	6	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	60	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-moped-ext-vortageanzahlAufKostenbeitrag.json	3790	5	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-moped-ext-workflow-status.json	1877	6	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	66	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-AbrechnungsRelevanz-valueset.json	977	5	0	0	0	0	0	0	1	459	0	0	0	0	0	0	0	0	0	0	13	3223	0	0	0	0	0	0
fsh-generated/resources/ValueSet-moped-Anwesenheitsart-valueset.json	625	5	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	11	359	0	0	0	1	0	0
