URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/encounter-reason-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2114",EncounterReasonUse,Encounter Reason Use,"Encounter Reason Use","ValueSet/encounter-reason-use"
http://hl7.org/fhir/encounter-status,5.0.0,active,"2.16.840.1.113883.4.642.4.247,2.16.840.1.113883.4.642.1.242",EncounterStatus,Encounter Status,"Current state of the encounter.","ValueSet/MopedEncounterStatusAufnahmeVS,ValueSet/MopedEncounterStatusEntlassungVS"
http://hl7.org/fhir/http-verb,5.0.0,active,"2.16.840.1.113883.4.642.4.625,2.16.840.1.113883.4.642.2.329,2.16.840.1.113883.4.642.1.617",HTTPVerb,H T T P Verb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/HTTPVerbUpdateOnlyVS,ValueSet/HTTPVerbInsertOnlyVS,ValueSet/HTTPVerbInsertUpdateDeleteVS"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/v2-0203"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,3.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/MopedRelatedPersonRelationshipTypeVS"
https://elga.moped.at/CodeSystem/AbgangsartCS,0.1.0,active,,AbgangsartCS,Moped Aufnahmeart des Patienten,"Zulässige Ausprägungen Aufnahmeart (LKF & KaOrg)","ValueSet/AbgangsartVS"
https://elga.moped.at/CodeSystem/AbrechnungsRelevanzCS,0.1.0,active,,AbrechnungsRelevanzCS,Abrechnungsrelevanz der medizinischen Leistung,"Abrechnungsrelevanz der medizinischen Leistung","ValueSet/AbrechnungsRelevanzVS"
https://elga.moped.at/CodeSystem/AbrechnungsartAuslaenderverrechnungCS,0.1.0,active,,AbrechnungsartAuslaenderverrechnungCS,Abrechnungsart Ausländerverrechnung CodeSystem,"CodeSystem für die Abrechnungsarten in der Ausländerverrechnung","ValueSet/AbrechnungsartAuslaenderverrechnungVS"
https://elga.moped.at/CodeSystem/AltersgruppeCS,0.1.0,active,,AltersgruppeCS,Altersgruppe des Patienten,"CodeSystem für die Altersgruppe des Patienten","ValueSet/AltersgruppeVS"
https://elga.moped.at/CodeSystem/AnwesenheitsartCS,0.1.0,active,,AnwesenheitsartCS,Anwesenheitsart,"CodeSystem für die Anwesenheitsart","ValueSet/AnwesenheitsartVS"
https://elga.moped.at/CodeSystem/Aufnahmeart2CS,0.1.0,active,,Aufnahmeart2CS,Aufnahmeart2 des Patienten,"CodeSystem für die Aufnahmeart des Patienten","ValueSet/Aufnahmeart2VS"
https://elga.moped.at/CodeSystem/AufnahmeartCS,0.1.0,active,,AufnahmeartCS,Moped Aufnahmeart des Patienten,"Zulässige Ausprägungen Aufnahmeart (LKF & KaOrg)","ValueSet/AufnahmeartVS"
https://elga.moped.at/CodeSystem/BehandlungsartCS,0.1.0,active,,BehandlungsartCS,Behandlungsart,"CodeSystem für die Behandlungsart","ValueSet/BehandlungsartVS"
https://elga.moped.at/CodeSystem/ClaimSupportingInformationCategoryCS,0.1.0,active,,ClaimSupportingInformationCategoryCS,MOPED VAESupportingInformationCategory,"Arten von zusätzlichen Informationen in der VAE","ValueSet/VAESupportingInformationCategoryVS,ValueSet/LKFSupportingInformationCategoryVS,ValueSet/ClaimSupportingInformationCategoryVS"
https://elga.moped.at/CodeSystem/CompositionSectionsCS,0.1.0,active,,CompositionSectionsCS,Moped Composition Sections,"CodeSystem für die Moped Sections der Composition Ressource","ValueSet/CompositionSectionsVS"
https://elga.moped.at/CodeSystem/EWCodes2025CS,0.1.0,active,,EWCodes2025CS,Akzeptierte Errors/Warnings - Codes 2025,"Der entsprechende Error-/Warning-/Hinweis-Code des unplausiblen/hinweisbezogenen Wertes","ValueSet/EWCodes2025VS"
https://elga.moped.at/CodeSystem/EntlassungsartCS,0.1.0,active,,EntlassungsartCS,Entlassungsart des Patienten,"CodeSystem für die Entlassungsart des Patienten","ValueSet/EntlassungsartSVS,ValueSet/EntlassungsartAVS"
https://elga.moped.at/CodeSystem/FondsrelevanzCS,0.1.0,active,,FondsrelevanzCS,Fondsrelevanz,"CodeSystem für die Fondsrelevanz","ValueSet/FondsrelevanzVS"
https://elga.moped.at/CodeSystem/KostenmeldungARKCS,0.1.0,active,,KostenmeldungARKCS,Kostenmeldung für (A/R/K),"CodeSystem für die Art der Kostenmeldung","ValueSet/KostenmeldungARKVS"
https://elga.moped.at/CodeSystem/LKFAbrechnungsKnotenCS,0.1.0,active,,LKFAbrechnungsKnotenCS,LKF Abrechnungsknoten,"LKF Abrechnungsknoten","ValueSet/LKFAbrechnungsKnotenVS"
https://elga.moped.at/CodeSystem/LKFHauptdiagnosegruppenCS,0.1.0,active,,LKFHauptdiagnosegruppenCS,LKF Hauptdiagnosegruppen,"LKF Hauptdiagnosegruppen","ValueSet/LKFHauptdiagnosegruppenVS,ValueSet/LKFAbrechnungsGruppeVS"
https://elga.moped.at/CodeSystem/LKFmedizinischeEinzelleistungenCS,0.1.0,active,,LKFmedizinischeEinzelleistungenCS,LKF medizinische Einzelleistungen (MEL),"LKF medizinische Einzelleistungen (MEL)","ValueSet/LKFAbrechnungsGruppeVS,ValueSet/LKFmedizinischeEinzelleistungenVS"
https://elga.moped.at/CodeSystem/MopedClaimItemCategoryCS,0.1.0,active,,MopedClaimItemCategoryCS,Moped Claim Item Category CodeSystem,"CodeSystem für die Arten von Claim Item Kategorien","ValueSet/MopedClaimItemCategoryVS"
https://elga.moped.at/CodeSystem/MopedEncounterTypesCS,0.1.0,active,,MopedEncounterTypesCS,Arten von Moped Encounter,"Arten von Moped Encounter","ValueSet/MopedEncounterTypesVS,ValueSet/CompositionSectionsVS"
https://elga.moped.at/CodeSystem/MopedPaymentTypesCS,0.1.0,active,,MopedPaymentTypesCS,Arten von Moped Payment Types CS,"Arten von Moped Payment Types CS","ValueSet/MopedPaymentTypesVS"
https://elga.moped.at/CodeSystem/SonderklasseCS,0.1.0,active,,SonderklasseCS,Sonderklasse CodeSystem,"CodeSystem für die Klasse (KaOrg)","ValueSet/SonderklasseVS"
https://elga.moped.at/CodeSystem/SpezielleOrganisationsformCS,0.1.0,active,,SpezielleOrganisationsformCS,Spezielle Organisationsform,"Die spezielle Organisationsform der stationären Versorgung ist im Kostenstellenplan  zusätzlich zum Funktionscode mit einer entsprechenden Kennzeichnung zu versehen.","ValueSet/SpezielleOrganisationsformVS"
https://elga.moped.at/CodeSystem/TransportartCS,0.1.0,active,,TransportartCS,Transportart,"CodeSystem für die Transportart des Patienten","ValueSet/TransportartVS"
https://elga.moped.at/CodeSystem/UrsacheCS,0.1.0,active,,UrsacheCS,Ursache für Behandlung,"CodeSystem für die Ursache der Behandlung laut Ka-Org","ValueSet/UrsacheVS"
https://elga.moped.at/CodeSystem/VAEStatusCS,0.1.0,active,,VAEStatusCS,Status der Versichertenanspruchserklärung,"Status der Versichertenanspruchserklärung","ValueSet/VAEStatusVS"
https://elga.moped.at/CodeSystem/VerdachtArbeitsSchuelerunfallCS,0.1.0,active,,VerdachtArbeitsSchuelerunfallCS,Verdacht auf Arbeits- oder Schuelerunfall CodeSystem,"CodeSystem für den Verdacht auf einen Arbeits- oder Schuelerunfall","ValueSet/VerdachtArbeitsSchuelerunfallVS"
https://elga.moped.at/CodeSystem/VerpflegskostenBeitragsbefreiungCS,0.1.0,active,,VerpflegskostenBeitragsbefreiungCS,Befreiung für den Verpflegskostenbeitrag,"CodeSystem für die Befreiung für den Verpflegskostenbeitrag","ValueSet/VerpflegskostenBeitragsbefreiungVS"
https://elga.moped.at/CodeSystem/WorkflowStatusCS,0.1.0,active,,WorkflowStatusCS,Workflow Status eines Falls,"CodeSystem für die Statusoptionen in denen sich ein Fall befinden kann.","ValueSet/WorkflowStatusVS"
https://elga.moped.at/CodeSystem/ZahlungskennzeichenAuslaenderverrechnungCS,0.1.0,active,,ZahlungskennzeichenAuslaenderverrechnungCS,CodeSystem Zahlungskennzeichen Auslaenderverrechnung,"CodeSystem Zahlungskennzeichen Auslaenderverrechnung","ValueSet/ZahlungskennzeichenVS"
https://elga.moped.at/CodeSystem/ZahlungskennzeichenRegressCS,0.1.0,active,,ZahlungskennzeichenRegressCS,CodeSystem Zahlungskennzeichen Regress,"CodeSystem Zahlungskennzeichen Regress","ValueSet/ZahlungskennzeichenVS"
