Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	43262	-	0	0	0	0	0	0	6	297	0	0	0	0	0	0	0	1	0	0	138	163	0	0	0	8	0	0
fsh-generated/resources/OperationDefinition-MOPED.CoverageEligibilityRequest.Anfragen.json	5100	12	1	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Aufnehmen.json	8892	4	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	27	9	0	0	0	1	0	1
fsh-generated/resources/OperationDefinition-MOPED.Patient.Entlassen.json	5345	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-MOPED.Patient.Verlegen.json	7128	4	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	53	0	0	21	7	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Leistungskomponente-Leistungspunkte.json	2279	6	0	0	1	0	0	14	0	731	0	0	1	0	0	0	0	0	0	0	61	4568	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-MOPEDAccount.json	5056	9	0	0	0	0	0	115	0	18	0	0	0	0	0	0	0	3	0	0	174	1530	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-MOPEDAufnahmeBundle.json	4238	5	0	0	0	0	0	301	0	23	0	0	0	0	0	0	0	2	0	0	407	2275	0	1	0	16	0	2
fsh-generated/resources/StructureDefinition-MOPEDClaim.json	10720	9	0	0	0	0	0	221	0	100	0	0	1	0	0	0	0	2	0	0	392	1926	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-MOPEDClaimResponse.json	13677	10	0	0	0	0	0	175	0	77	0	0	0	0	0	0	0	2	0	0	432	1874	0	0	0	19	1	2
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityRequest.json	2859	4	0	0	0	0	0	51	0	12	0	0	1	0	0	0	0	1	0	0	150	368	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-MOPEDCoverageEligibilityResponse.json	3418	3	1	0	0	0	0	63	0	63	0	0	0	0	0	0	0	1	0	0	153	662	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-MOPEDEncounter.json	8217	6	0	0	0	0	0	37	0	88	0	0	0	0	0	0	0	1	0	0	271	895	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-MOPEDOrganizationAbteilung.json	3225	4	0	0	0	0	0	22	0	26	0	0	0	0	0	0	0	0	0	0	125	373	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MOPEDTransferEncounter.json	3626	4	0	0	0	0	0	20	0	28	0	0	0	0	0	0	0	1	0	0	191	587	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-Plausibilitaetskennzeichen.json	1627	4	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	31	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Punkte-Belagsdauerausreisser-unten-Leistungskomponente.json	2582	3	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	45	132	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Punkte-Belagsdauerausreisser-unten-Tageskomponente.json	2546	4	1	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	45	150	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Punkte-spezieller-Bereiche-tageweise.json	2582	6	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	45	151	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SVAbrechnungsquartal.json	2295	7	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	57	177	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SVCCoverage.json	4547	7	0	0	0	0	0	21	0	99	0	0	1	0	0	0	0	1	0	0	198	656	0	0	0	9	0	1
