URL,Version,Status,OIDs,Name,Title,Description,Used
https://elga.moped.at/CodeSystem/AbgangsartCS,0.1.0,active,,AbgangsartCS,Moped Aufnahmeart des Patienten,"Zulässige Ausprägungen Aufnahmeart (LKF & KaOrg)",
https://elga.moped.at/CodeSystem/AbrechnungsRelevanzCS,0.1.0,active,,AbrechnungsRelevanzCS,Abrechnungsrelevanz der medizinischen Leistung,"Abrechnungsrelevanz der medizinischen Leistung",
https://elga.moped.at/CodeSystem/AbrechnungsartAuslaenderverrechnungCS,0.1.0,active,,AbrechnungsartAuslaenderverrechnungCS,Abrechnungsart Ausländerverrechnung CodeSystem,"CodeSystem für die Abrechnungsarten in der Ausländerverrechnung",
https://elga.moped.at/CodeSystem/AltersgruppeCS,0.1.0,active,,AltersgruppeCS,Altersgruppe des Patienten,"CodeSystem für die Altersgruppe des Patienten",
https://elga.moped.at/CodeSystem/AnwesenheitsartCS,0.1.0,active,,AnwesenheitsartCS,Anwesenheitsart,"CodeSystem für die Anwesenheitsart",
https://elga.moped.at/CodeSystem/Aufnahmeart2CS,0.1.0,active,,Aufnahmeart2CS,Aufnahmeart2 des Patienten,"CodeSystem für die Aufnahmeart des Patienten",
https://elga.moped.at/CodeSystem/AufnahmeartCS,0.1.0,active,,AufnahmeartCS,Moped Aufnahmeart des Patienten,"Zulässige Ausprägungen Aufnahmeart (LKF & KaOrg)",
https://elga.moped.at/CodeSystem/BehandlungsartCS,0.1.0,active,,BehandlungsartCS,Behandlungsart,"CodeSystem für die Behandlungsart",
https://elga.moped.at/CodeSystem/ClaimSupportingInformationCategoryCS,0.1.0,active,,ClaimSupportingInformationCategoryCS,MOPED VAESupportingInformationCategory,"Arten von zusätzlichen Informationen in der VAE",
https://elga.moped.at/CodeSystem/CompositionSectionsCS,0.1.0,active,,CompositionSectionsCS,Moped Composition Sections,"CodeSystem für die Moped Sections der Composition Ressource",
https://elga.moped.at/CodeSystem/EWCodes2025CS,0.1.0,active,,EWCodes2025CS,Akzeptierte Errors/Warnings - Codes 2025,"Der entsprechende Error-/Warning-/Hinweis-Code des unplausiblen/hinweisbezogenen Wertes",
