Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-elga-e-medikation-R5.elga.hl7.at.json	18780	-	0	0	0	0	0	0	5	62	0	0	0	0	0	0	0	1	0	0	126	89	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-at-core-cs-iso-3166-1-alpha-3.json	18734	22	0	0	0	1	0	0	4	45	0	0	1	0	0	0	0	1	0	0	139	1586	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-at-core-cs-religion.json	15929	26	1	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	57	83	0	0	0	6	0	1
fsh-generated/resources/MedicationDispense-d6a2f68cd3f74c28b9dd9fa4ec014cc4.json	1870	14	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	1	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-091f1a9d0d64415c91f67caccc3f3848.json	1961	11	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-1762e9b8e2c84b01824f101db887593c.json	2515	9	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-2f9de5b899a54392b9b39c440aca0887.json	1509	8	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-3249246cd3774134abeafdfe6189e8e7.json	1553	10	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-331c530a6377444a9e78a8a27a2ec35c.json	2391	10	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-4ca9d9bf9936427c926118e9c627fc3a.json	2420	9	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-ab0ad2904cd14d36af23de4edc332ea3.json	1761	8	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-b8aad49741e74c36aeab76cada3ad1bc.json	2065	9	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Patient-6800bda462034a9a8123e3dc48c61d53.json	1031	11	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/Patient-d14e6251b3c545828f7e44cdc6faf2fb.json	1028	9	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0
fsh-generated/resources/Patient-ee8d340312484aaca84774b2a0d53533.json	1044	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-RequestOrchestration-Dosage-Example.json	8984	14	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	41	15	0	1	0	0	0	0
fsh-generated/resources/RequestOrchestration-bfa0d45270674e0794b694f2892cb1c0.json	2954	9	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-c13972d2294549c7bd29e924cbf0ce41.json	6179	10	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-at-core-address.json	5648	9	6	0	0	0	0	27	0	713	0	0	1	0	0	0	0	1	0	0	131	2675	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1682	9	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	48	168	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4015	10	6	0	0	0	0	27	0	21	0	0	0	0	0	0	0	1	0	0	164	469	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1935	8	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	50	127	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	26192	18	0	0	0	0	0	148	0	208	0	0	0	0	0	0	0	10	0	0	1357	2147	0	0	0	48	0	8
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2692	7	0	0	0	0	0	115	0	42	0	0	1	0	0	0	0	3	0	0	488	577	0	0	0	13	1	1
fsh-generated/resources/StructureDefinition-linca-dipsense-documentation.json	4503	4	0	0	0	0	0	153	0	85	0	0	0	0	0	0	0	3	0	0	342	395	0	0	0	10	3	2
fsh-generated/resources/StructureDefinition-linca-full-proposal-list.json	2826	2	0	0	0	0	0	64	0	22	0	0	0	0	0	0	0	3	0	0	376	426	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-linca-medication.json	1180	4	1	0	0	0	0	16	0	11	0	0	0	0	0	0	0	1	0	0	136	153	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-linca-prescription-medication-request.json	5709	3	0	0	0	0	0	33	0	29	0	0	0	0	0	0	0	3	0	0	428	438	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-linca-proposal-medication-request.json	6228	3	0	0	0	0	0	31	0	32	0	0	1	0	0	0	0	3	0	0	443	399	0	0	0	19	1	1
fsh-generated/resources/ValueSet-at-elga-vs-countryCodes.json	827	5	0	0	0	0	0	0	1	102	0	0	0	0	0	0	0	0	0	0	8	2602	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-elga-vs-religion.json	21494	7	0	0	0	0	0	0	2	25	0	0	0	0	0	0	0	0	0	0	98	132	0	0	0	3	0	1
