Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-linkedcare.hl7.at.json	17655	-	0	0	0	0	0	0	4	95	0	0	0	0	0	0	0	1	0	0	145	131	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-at-core-cs-iso-3166-1-alpha-3.json	18734	80	1	0	0	0	0	0	4	113	0	0	1	0	0	0	0	0	0	0	212	1601	0	0	0	12	0	0
fsh-generated/resources/CodeSystem-at-core-cs-religion.json	15929	49	0	0	0	0	0	0	2	36	0	0	0	0	0	0	0	1	0	0	80	96	0	0	0	2	0	1
fsh-generated/resources/MedicationDispense-d6a2f68cd3f74c28b9dd9fa4ec014cc4.json	1860	17	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-091f1a9d0d64415c91f67caccc3f3848.json	1951	17	0	0	0	0	0	0	1	203	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-1762e9b8e2c84b01824f101db887593c.json	2505	14	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-2f9de5b899a54392b9b39c440aca0887.json	1499	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-3249246cd3774134abeafdfe6189e8e7.json	1543	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-331c530a6377444a9e78a8a27a2ec35c.json	2381	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-4ca9d9bf9936427c926118e9c627fc3a.json	2410	6	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-ab0ad2904cd14d36af23de4edc332ea3.json	1751	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-b8aad49741e74c36aeab76cada3ad1bc.json	2055	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Patient-6800bda462034a9a8123e3dc48c61d53.json	1021	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Patient-d14e6251b3c545828f7e44cdc6faf2fb.json	1018	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Patient-ee8d340312484aaca84774b2a0d53533.json	1034	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-RequestOrchestration-Dosage-Example.json	8944	20	0	0	0	0	0	0	1	105	0	0	0	0	0	0	0	1	0	0	51	21	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-bfa0d45270674e0794b694f2892cb1c0.json	2934	8	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-c13972d2294549c7bd29e924cbf0ce41.json	6149	12	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	34	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6038	9	5	0	1	0	0	52	0	128	0	0	1	0	0	1	0	1	0	0	143	1267	0	1	0	10	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1781	5	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0	0	0	50	167	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4114	8	4	0	0	0	0	70	0	60	0	0	0	0	0	0	0	1	0	0	179	400	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2034	5	0	0	0	0	0	20	0	14	0	0	0	0	0	0	0	0	0	0	52	170	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	26814	48	0	0	0	0	0	540	0	524	0	0	0	0	0	0	0	9	0	0	1530	2198	0	0	0	39	0	4
fsh-generated/resources/StructureDefinition-at-core-valueset.json	3050	6	1	0	0	0	0	207	0	163	0	0	1	0	0	0	0	3	0	0	532	617	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-linca-dipsense-documentation.json	5071	8	0	0	0	0	0	270	0	121	0	0	0	0	0	0	0	3	0	0	379	545	0	0	0	25	0	1
fsh-generated/resources/StructureDefinition-linca-full-proposal-list.json	3165	6	0	0	0	0	0	189	0	132	0	0	0	0	0	0	0	3	0	0	377	614	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-linca-medication.json	1644	6	0	0	0	0	0	46	0	47	0	0	0	0	0	0	0	1	0	0	149	234	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-linca-prescription-medication-request.json	6264	10	0	0	0	0	0	181	0	202	0	0	0	0	0	0	0	3	0	0	465	643	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-linca-proposal-medication-request.json	6793	10	0	0	0	0	0	141	0	226	0	0	0	0	0	0	0	3	0	0	494	614	0	0	0	13	0	1
fsh-generated/resources/ValueSet-at-elga-vs-countryCodes.json	827	5	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	8	3414	0	0	0	1	0	0
fsh-generated/resources/ValueSet-at-elga-vs-religion.json	21494	26	0	0	0	0	0	0	1	49	0	0	0	0	0	0	0	0	0	0	105	185	0	0	0	2	0	0
