Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-linkedcare.hl7.at.json	10935	-	0	0	0	0	0	0	9	64	0	0	0	0	0	0	0	2	0	0	100	83	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-at-core-cs-iso-3166-1-alpha-3.json	18734	138	0	0	0	0	0	0	5	104	0	0	3	0	0	0	0	1	0	0	144	2012	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-at-core-cs-religion.json	15929	42	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	57	69	0	0	0	11	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner-01.json	656	15	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	3050	12	0	0	0	0	0	267	0	917	0	0	2	0	0	0	0	0	0	0	460	3532	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-at-core-address.json	6038	15	8	0	0	0	0	50	0	47	0	0	0	0	0	0	0	0	0	0	117	351	0	0	0	15	0	0
fsh-generated/resources/Patient-Patient-02.json	1108	17	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-elga-vs-countryCodes.json	827	11	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	6	4827	0	0	0	0	0	0
fsh-generated/resources/Patient-Patient-04.json	632	9	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-linca-dipsense-documentation.json	3111	12	0	0	0	0	0	231	0	80	0	0	0	0	0	0	0	1	0	0	195	797	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1781	10	0	0	0	0	0	33	0	13	0	0	0	1	0	0	0	0	0	0	41	121	0	0	0	1	0	0
fsh-generated/resources/RequestOrchestration-RequestOrchestrationExample.json	7033	29	0	0	0	0	0	0	1	287	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-linca-medication.json	1527	10	0	0	0	0	0	48	0	49	0	0	0	0	0	0	0	0	0	0	124	440	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-linca-prescription-medication-request.json	1884	10	0	0	0	0	0	367	0	141	0	0	4	0	0	0	0	0	0	0	343	1121	0	0	0	26	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4114	13	7	0	0	0	0	53	0	86	0	0	0	0	0	0	0	1	0	0	165	312	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-linca-order-medication-request.json	5685	16	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	400	1098	0	0	0	24	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	26814	53	0	0	0	0	0	484	0	469	0	0	0	0	0	0	0	9	0	0	1227	2444	0	0	0	30	1	6
fsh-generated/resources/MedicationRequest-linca-order-item-007.json	1703	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/Patient-Patient-03.json	697	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-temp-presc-ex.json	1855	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-elga-vs-religion.json	21494	29	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	86	138	0	0	0	2	0	0
fsh-generated/resources/MedicationDispense-temp-dispense-ex.json	794	11	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-linca-full-order-list.json	2271	11	0	0	0	0	0	181	0	184	0	0	0	0	0	0	0	1	0	0	343	987	0	0	0	7	0	1
fsh-generated/resources/Patient-Patient-01.json	592	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2034	11	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	41	127	0	0	0	1	0	0
