Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-linkedcare.hl7.at.json	10941	-	1	0	0	0	0	0	3	75	0	0	0	0	0	0	0	3	0	0	110	90	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-at-core-cs-iso-3166-1-alpha-3.json	18734	89	0	0	1	0	0	0	3	112	0	0	9	1	0	0	0	0	0	0	153	2190	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-at-core-cs-religion.json	15929	57	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	65	133	0	0	0	6	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner-01.json	656	15	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	3050	16	1	0	0	0	0	373	0	408	0	0	1	0	0	0	0	1	0	0	468	3978	0	0	0	24	0	4
fsh-generated/resources/StructureDefinition-at-core-address.json	6038	18	7	0	0	0	0	68	0	54	0	0	0	0	0	0	0	0	0	0	126	528	0	0	0	3	0	2
fsh-generated/resources/Patient-Patient-02.json	1108	23	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-elga-vs-countryCodes.json	827	13	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	11	5384	0	0	0	1	0	0
fsh-generated/resources/Patient-Patient-04.json	632	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-linca-dipsense-documentation.json	3111	14	0	0	0	0	0	338	0	86	0	0	0	0	0	0	0	1	0	0	229	625	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1781	13	1	0	0	0	0	14	0	17	0	0	0	0	0	0	0	0	0	0	55	129	0	0	0	2	0	1
fsh-generated/resources/RequestOrchestration-RequestOrchestrationExample.json	7033	34	0	0	0	0	0	0	1	204	0	0	0	0	0	0	0	0	0	0	37	21	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-linca-medication.json	1527	13	0	0	0	0	0	52	0	57	0	0	0	0	0	0	0	0	0	0	132	500	0	0	0	14	1	0
fsh-generated/resources/StructureDefinition-linca-prescription-medication-request.json	1884	13	0	0	0	0	0	417	0	157	0	0	4	0	0	6	0	1	0	0	404	1285	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4114	16	7	0	0	0	0	58	0	101	0	0	1	0	0	0	0	0	0	0	147	419	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-linca-order-medication-request.json	5685	19	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	1	0	0	412	1167	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	26814	64	0	0	0	0	0	488	0	518	0	0	0	0	0	0	0	15	0	0	1240	2489	0	0	0	32	0	2
fsh-generated/resources/MedicationRequest-linca-order-item-007.json	1703	20	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	6	0	0	1	0	0	0
fsh-generated/resources/Patient-Patient-03.json	697	11	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-temp-presc-ex.json	1855	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0
fsh-generated/resources/ValueSet-at-elga-vs-religion.json	21494	38	0	0	0	0	0	0	2	50	0	0	0	0	0	0	0	0	0	0	87	129	0	0	0	3	0	1
fsh-generated/resources/MedicationDispense-temp-dispense-ex.json	794	13	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-linca-full-order-list.json	2271	12	0	0	0	0	0	184	0	143	0	0	0	0	0	0	0	1	0	0	312	947	0	0	0	7	0	0
fsh-generated/resources/Patient-Patient-01.json	592	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2034	12	1	0	0	0	0	14	0	17	0	0	0	0	0	0	0	0	0	0	43	128	0	0	0	1	0	0
