URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.hl7.at/fhir/ATMessaging/0.1.0/CodeSystem/at-messaging-endpoint-type,0.1.0,draft,,ATMessagingEndpointType,AT Messaging Endpoint Type,"Endpoint Type Coding to encode Messaging Systems the message is transported over.","ValueSet/at-messaging-endpoint-type-vs"
http://fhir.hl7.at/fhir/ATMessaging/0.1.0/CodeSystem/at-messaging-event-type,0.1.0,draft,,ATMessagingEventType,AT Messaging Event Type,"Event Coding for discriminating messages on the receiver.","ValueSet/at-messaging-event-type-vs"
http://hl7.org/fhir/CodeSystem/iana-link-relations,5.0.0,active,,LinkRelationTypes,Link Relation Types,"Link Relation Types defined at https://www.iana.org/assignments/link-relations/link-relations.xhtml#link-relations-1","ValueSet/iana-link-relations"
http://hl7.org/fhir/CodeSystem/task-code,5.0.0,active,"2.16.840.1.113883.4.642.4.1397",TaskCode,Task Codes,"Codes indicating the type of action that is expected to be performed","ValueSet/task-code"
http://hl7.org/fhir/bundle-type,5.0.0,active,"2.16.840.1.113883.4.642.2.327,2.16.840.1.113883.4.642.1.613,2.16.840.1.113883.4.642.4.621",BundleType,Bundle Type,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/endpoint-environment,5.0.0,active,"2.16.840.1.113883.4.642.4.2041",EndpointEnvironment,Endpoint Environment,"The environment type of the endpoint.","ValueSet/endpoint-environment"
http://hl7.org/fhir/endpoint-status,5.0.0,active,"2.16.840.1.113883.4.642.4.495,2.16.840.1.113883.4.642.1.488",EndpointStatus,Endpoint Status,"The status of the endpoint.","ValueSet/endpoint-status"
http://hl7.org/fhir/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/http-verb,5.0.0,active,"2.16.840.1.113883.4.642.4.625,2.16.840.1.113883.4.642.2.329,2.16.840.1.113883.4.642.1.617",HTTPVerb,H T T P Verb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/request-intent,5.0.0,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent,ValueSet/task-intent"
http://hl7.org/fhir/request-priority,5.0.0,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/response-code,5.0.0,active,"2.16.840.1.113883.4.642.1.368,2.16.840.1.113883.4.642.2.203,2.16.840.1.113883.4.642.4.381",ResponseType,Response Type,"The kind of response to a message.","ValueSet/response-code"
http://hl7.org/fhir/search-entry-mode,5.0.0,active,"2.16.840.1.113883.4.642.1.615,2.16.840.1.113883.4.642.2.328,2.16.840.1.113883.4.642.4.623",SearchEntryMode,Search Entry Mode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/task-intent,5.0.0,active,"2.16.840.1.113883.4.642.4.1241",TaskIntent,Task Intent,"Distinguishes whether the task is a proposal, plan or full order.","ValueSet/task-intent"
http://hl7.org/fhir/task-status,5.0.0,active,"2.16.840.1.113883.4.642.1.774,2.16.840.1.113883.4.642.4.791",TaskStatus,Task Status,"The current status of the task.","ValueSet/task-status"
http://hl7.org/fhir/task-status-reason,5.0.0,active,"2.16.840.1.113883.4.642.4.2042",TaskStatusReason,Task Status Reason,"The current status reason of the task.","ValueSet/task-status-reason"
http://terminology.hl7.org/CodeSystem/communication-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1076",CommunicationCategory,CommunicationCategory,"Codes for general categories of communications such as alerts, instructions, etc.","ValueSet/communication-category"
http://terminology.hl7.org/CodeSystem/communication-not-done-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1077",CommunicationNotDoneReason,CommunicationNotDoneReason,"Codes for the reason why a communication did not happen.","ValueSet/communication-not-done-reason"
http://terminology.hl7.org/CodeSystem/communication-topic,1.0.1,active,"2.16.840.1.113883.4.642.1.1078",CommunicationTopic,CommunicationTopic,"Codes describing the purpose or content of the communication.","ValueSet/communication-topic"
http://terminology.hl7.org/CodeSystem/endpoint-connection-type,2.1.1,active,"2.16.840.1.113883.4.642.1.1140",EndpointConnectionType,Endpoint Connection Type,"This is an example value set defined by the FHIR project, that could be used to represent possible connection type profile values.","ValueSet/at-messaging-endpoint-type-vs"
http://terminology.hl7.org/CodeSystem/endpoint-payload-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1139",EndpointPayloadType,Endpoint Payload Type,"This is an example value set defined by the FHIR project, that could be used to represent possible payload document types.","ValueSet/endpoint-payload-type"
http://terminology.hl7.org/CodeSystem/message-reasons-encounter,1.0.1,active,"2.16.840.1.113883.4.642.1.1122",ExampleMessageReasonCodes,Example Message Reason Codes,"Example Message Reasons. These are the set of codes that might be used an updating an encounter using admin-update.","ValueSet/message-reason-encounter"
