URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.hl7.at/fhir/ATMessaging/0.1.0/ValueSet/at-messaging-endpoint-type-vs,0.1.0,draft,,ATMessagingEndpointTypeVS,AT Messaging Endpoint Type ValueSet,"ValueSet of Endpoint Type Codings.","StructureDefinition/at-messaging-endpoint","Internal,THO"
http://fhir.hl7.at/fhir/ATMessaging/0.1.0/ValueSet/at-messaging-event-type-vs,0.1.0,draft,,ATMessagingEventTypeVS,AT Message Event Type ValueSet,"Extensible ValueSet consisting of the Message Event Type Codings.","StructureDefinition/at-messaging-message-header","Internal"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/at-messaging-endpoint,StructureDefinition/at-messaging-communication-request,StructureDefinition/at-messaging-communication-attachment,StructureDefinition/at-messaging-message-header,StructureDefinition/at-messaging-task,StructureDefinition/at-messaging-communication,StructureDefinition/at-messaging-bundle","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/bundle-type,5.0.0,active,"2.16.840.1.113883.4.642.3.620,2.16.840.1.113883.4.642.2.327,2.16.840.1.113883.4.642.3.612",BundleType,Bundle Type,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/at-messaging-bundle","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/at-messaging-communication","SCT"
http://hl7.org/fhir/ValueSet/communication-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.172,2.16.840.1.113883.4.642.3.162",CommunicationCategory,Communication Category,"Codes for general categories of communications such as alerts, instructions, etc.","StructureDefinition/at-messaging-communication-request,StructureDefinition/at-messaging-communication","THO"
http://hl7.org/fhir/ValueSet/communication-not-done-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.164,2.16.840.1.113883.4.642.3.174",CommunicationNotDoneReason,Communication Not Done Reason,"Codes for the reason why a communication did not happen.","StructureDefinition/at-messaging-communication","THO"
http://hl7.org/fhir/ValueSet/communication-request-status-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.3164",CommunicationRequestStatusReason,CommunicationRequest Status Reason,"Example codes indicating the reason why a CommunicationRequest is on hold or revoked. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/at-messaging-communication-request","SCT"
http://hl7.org/fhir/ValueSet/communication-topic,5.0.0,draft,"2.16.840.1.113883.4.642.3.983",CommunicationTopic,Communication Topic,"Codes describing the purpose or content of the communication.","StructureDefinition/at-messaging-communication","THO"
http://hl7.org/fhir/ValueSet/endpoint-environment,5.0.0,draft,"2.16.840.1.113883.4.642.3.3184",EndpointEnvironment,Endpoint Environment,"The environment type of the endpoint.","StructureDefinition/at-messaging-endpoint","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/endpoint-payload-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.496,2.16.840.1.113883.4.642.3.489",EndpointPayloadType,Endpoint Payload Type,"This is an example value set defined by the FHIR project, that could be used to represent possible payload document types.","StructureDefinition/at-messaging-endpoint","THO"
