Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-TC-FHIR-AG-Scheduling-R5.json	5080	-	0	0	0	0	0	0	3	74	0	0	0	0	0	0	0	0	0	0	60	54	0	0	0	1	0	1
fsh-generated/resources/OperationDefinition-appointment-book.json	1748	31	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-healthcareService-provider-find.json	3906	27	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	33	16	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-slot-hold.json	2221	26	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	24	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-appointment.json	7034	30	0	162	0	0	1	0	0	101	0	0	1	0	0	0	0	2	0	0	430	1482	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-at-scheduling-appointmentresponse.json	1968	25	0	23	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	87	180	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-at-scheduling-healthcareservice.json	1647	10	0	25	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	123	175	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-schedule.json	1782	10	0	30	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	70	144	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-slot.json	1420	7	0	20	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	66	124	0	0	0	2	0	1
fsh-generated/resources/ValueSet-AtSchedulingServiceType.json	243	9	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	16	1396	0	0	0	1	0	0
