Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-TC-FHIR-AG-Scheduling-R5.json	5080	-	0	0	0	0	0	0	2	167	0	0	0	0	0	0	0	1	0	0	60	56	0	0	0	1	0	1
fsh-generated/resources/OperationDefinition-appointment-book.json	1748	34	0	0	1	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	23	18	0	1	0	1	0	0
fsh-generated/resources/OperationDefinition-healthcareService-provider-find.json	3906	30	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	32	17	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-slot-hold.json	2221	29	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	26	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-appointment.json	7034	26	0	156	0	0	0	0	0	82	0	0	0	0	0	0	0	3	0	0	453	2446	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-scheduling-appointmentresponse.json	1968	8	0	23	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	83	182	0	0	0	2	0	3
fsh-generated/resources/StructureDefinition-at-scheduling-healthcareservice.json	1647	9	0	28	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	130	276	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-schedule.json	1782	13	0	32	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	72	117	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-slot.json	1420	8	0	23	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	80	134	0	0	0	2	0	0
fsh-generated/resources/ValueSet-AtSchedulingServiceType.json	243	12	0	0	0	0	0	0	1	140	0	0	0	0	0	0	0	0	0	0	20	1375	0	0	0	0	0	0
