Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-TC-FHIR-AG-Scheduling-R5.json	4875	-	0	0	0	0	0	0	2	99	0	0	0	0	0	0	0	1	0	0	54	61	0	0	1	1	0	0
fsh-generated/resources/OperationDefinition-appointment-book.json	1748	18	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-healthcareService-provider-find.json	3906	14	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	30	13	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-slot-hold.json	2221	11	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-appointment.json	716	12	0	0	0	0	0	80	0	60	0	0	1	0	0	0	0	2	0	0	231	2535	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-at-scheduling-appointmentresponse.json	788	11	0	0	0	0	0	29	0	20	0	0	0	0	0	0	0	1	0	0	84	252	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-healthcareservice.json	770	10	0	0	0	0	0	47	0	24	0	0	0	0	0	0	0	1	0	0	121	407	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-schedule.json	689	21	0	0	0	0	0	29	0	17	0	0	0	0	0	0	0	1	0	0	70	227	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-at-scheduling-slot.json	653	20	0	0	0	0	0	26	0	18	0	0	0	0	0	0	0	0	0	0	67	203	0	0	0	2	0	0
fsh-generated/resources/ValueSet-AtSchedulingServiceType.json	218	15	0	0	1	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	11	4291	0	0	0	0	0	0
