URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/appointmentstatus,5.0.0,active,"2.16.840.1.113883.4.642.4.485,2.16.840.1.113883.4.642.1.478,2.16.840.1.113883.4.642.2.284",AppointmentStatus,Appointment Status,"The free/busy status of an appointment.","ValueSet/appointmentstatus"
http://hl7.org/fhir/days-of-week,5.0.0,active,"2.16.840.1.113883.4.642.4.513,2.16.840.1.113883.4.642.2.302,2.16.840.1.113883.4.642.1.507",DaysOfWeek,Days Of Week,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/fhir-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1802",FHIRTypes,All FHIR Types,"One of the types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/participationstatus,5.0.0,active,"2.16.840.1.113883.4.642.4.487,2.16.840.1.113883.4.642.2.285,2.16.840.1.113883.4.642.1.480",ParticipationStatus,Participation Status,"The Participation status of an appointment.","ValueSet/participationstatus"
http://hl7.org/fhir/service-mode,5.0.0,active,"2.16.840.1.113883.4.642.4.2116",ServiceMode,Service Mode,"An example set of Service Modes that could be applicable to use to characterize HealthcareServices or PractitionerRoles while searching","ValueSet/service-mode"
http://hl7.org/fhir/slotstatus,5.0.0,active,"2.16.840.1.113883.4.642.1.476,2.16.840.1.113883.4.642.4.483,2.16.840.1.113883.4.642.2.283",SlotStatus,Slot Status,"The free/busy status of the slot.","ValueSet/slotstatus"
http://hl7.org/fhir/virtual-service-type,5.0.0,draft,"2.16.840.1.113883.4.642.4.1809",VirtualServiceType,Virtual Service Type,"Example codes for possible virtual service connection types.","ValueSet/virtual-service-type"
http://hl7.org/fhir/week-of-month,5.0.0,active,"2.16.840.1.113883.4.642.4.1906",WeekOfMonth,Week Of Month,"The set of weeks with in a month.","ValueSet/week-of-month"
http://terminology.hl7.org/CodeSystem/appointment-cancellation-reason,2.1.1,active,"2.16.840.1.113883.4.642.1.1382",AppointmentCancellationReason,Appointment cancellation reason,"This example value set defines a set of reasons for the cancellation of an appointment.","ValueSet/appointment-cancellation-reason"
http://terminology.hl7.org/CodeSystem/participant-type,1.0.1,active,"2.16.840.1.113883.4.642.1.1089",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","ValueSet/encounter-participant-type"
http://terminology.hl7.org/CodeSystem/program,1.0.1,active,"2.16.840.1.113883.4.642.1.1384",Program,Program,"This value set defines an example set of codes that could be can be used to classify groupings of service-types/specialties.","ValueSet/program"
http://terminology.hl7.org/CodeSystem/service-category,1.1.1,active,"2.16.840.1.113883.4.642.1.1144",ServiceCategory,Service category,"This value set defines an example set of codes that can be used to classify groupings of service-types/specialties.","ValueSet/service-category"
http://terminology.hl7.org/CodeSystem/service-provision-conditions,1.0.1,active,"2.16.840.1.113883.4.642.1.1143",ServiceProvisionConditions,ServiceProvisionConditions,"The code(s) that detail the conditions under which the healthcare service is available/offered.","ValueSet/service-provision-conditions"
http://terminology.hl7.org/CodeSystem/service-referral-method,1.0.1,active,"2.16.840.1.113883.4.642.1.1142",ReferralMethod,ReferralMethod,"The methods of referral can be used when referring to a specific HealthCareService resource.","ValueSet/service-referral-method"
