Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.tc.wg.scheduling.r5.json	10422	-	0	0	0	0	0	0	2	217	0	0	0	0	0	0	0	1	0	0	72	90	0	0	0	2	0	0
fsh-generated/resources/Appointment-HL7ATSchedulingAppointmentExample01.json	1530	12	0	0	1	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	20	25	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-HL7ATSchedulingHealthcareServiceExample01.json	669	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-appointment-book.json	1806	11	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-healthcareService-provider-find.json	3911	10	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	25	19	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-slot-hold.json	2713	9	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	1	0	1
fsh-generated/resources/Schedule-HL7ATSchedulingScheduleExample01.json	766	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Schedule-HL7ATSchedulingScheduleExample02.json	804	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/Schedule-HL7ATSchedulingScheduleExample03.json	789	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/Slot-HL7ATSchedulingSlotExample01-free.json	1034	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Slot-HL7ATSchedulingSlotExample02-VirtualVisit.json	1038	7	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/Slot-HL7ATSchedulingSlotExample03-selectable-encounterClass.json	1399	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/Slot-HL7ATSchedulingSlotExample04-external-booking-URL.json	1260	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-appointment-booking-url.json	1963	8	0	11	1	0	1	0	0	35	0	0	1	0	0	0	0	0	0	0	32	1098	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-appointment.json	7812	15	0	185	0	0	0	0	0	57	0	0	0	0	0	0	0	3	0	0	412	1113	0	0	0	17	0	4
fsh-generated/resources/StructureDefinition-at-scheduling-healthcareservice.json	1647	13	0	26	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	100	297	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-scheduling-schedule.json	1782	7	0	19	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	69	198	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-slot.json	2526	6	0	31	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	81	209	0	0	0	3	0	3
fsh-generated/resources/StructureDefinition-slot-encounter-class.json	2039	10	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-virtual-service-detail.json	9143	9	0	31	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	171	231	0	0	0	7	1	1
fsh-generated/resources/ValueSet-AtSchedulingServiceType.json	690	6	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	17	1942	0	0	0	1	0	0
input/resources/at-scheduling-actor-scheduling-client.xml	654	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
input/resources/at-scheduling-actor-scheduling-server.xml	649	11	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
