Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-TC-FHIR-AG-Scheduling-R5.json	5080	-	0	0	0	0	0	0	3	64	0	0	0	0	0	0	0	0	0	0	47	60	0	0	0	2	0	1
fsh-generated/resources/OperationDefinition-appointment-book.json	1748	40	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-healthcareService-provider-find.json	3906	33	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	1	0	0	24	16	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-slot-hold.json	2221	25	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-appointment.json	7034	15	0	189	0	0	1	1	0	97	0	0	1	0	0	0	0	3	0	0	402	1788	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-at-scheduling-appointmentresponse.json	1968	13	0	29	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	70	239	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-at-scheduling-healthcareservice.json	1647	9	0	25	0	0	0	0	0	35	0	0	0	1	0	0	0	1	0	0	91	419	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-schedule.json	1782	14	0	31	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	84	187	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-scheduling-slot.json	1420	12	0	19	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	81	113	0	0	0	3	0	1
fsh-generated/resources/ValueSet-AtSchedulingServiceType.json	243	12	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	11	1305	0	0	0	0	0	0
