URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/fhir/eu-ai-transparency/CodeSystem/ehds-data-category-cs,0.1.0,active,,EHDSDataCategoryCodeSystem,EHDS Data Category Code System,"Codes representing categories of electronic health data that may be made available for secondary use under the EHDS.","ValueSet/ehds-data-category-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/ehds-secondary-use-purpose-cs,0.1.0,active,,EHDSSecondaryUsePurposeCodeSystem,EHDS Secondary-Use Purpose Code System,"Codes representing permitted categories of purpose for the secondary use of electronic health data under the EHDS.","ValueSet/ehds-secondary-use-purpose-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/ehds-usage-category-cs,0.1.0,active,,EHDSUsageCategoryCodeSystem,EHDS Usage Category Code System,"Codes distinguishing primary use from secondary use of electronic health data in the context of the European Health Data Space.","ValueSet/ehds-usage-category-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-audit-entity-role,0.1.0,draft,,EUAIAuditEntityRoleCodeSystem,EU AI Audit Entity Role Code System,"Roles used to distinguish entities involved in an AI execution audit event.","ValueSet/eu-ai-audit-entity-role-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-case-specific-indication-cs,0.1.0,active,,EUAICaseSpecificIndicationCodeSystem,EU AI Case-Specific Indication Code System,"Codes describing the clinical purpose for which an AI system was applied in an individual case.","ValueSet/eu-ai-case-specific-indication-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-clinical-validation-status-cs,0.1.0,active,,EUAIClinicalValidationStatusCodeSystem,EU AI Clinical Validation Status Code System,"Codes indicating the documented clinical validation status of an AI system for its intended clinical use.","ValueSet/eu-ai-clinical-validation-status-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-data-quality-cs,0.1.0,active,,EUAIDataQualityCodeSystem,EU AI Data Quality Code System,"Codes describing assessed data-quality characteristics relevant to the development, validation, testing, or evaluation of an AI system.","ValueSet/eu-ai-data-quality-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-human-oversight-cs,0.1.0,active,,EUAIHumanOversightCodeSystem,EU AI Human Oversight Code System,"Codes describing actions taken by a human reviewer in response to an AI-generated output or recommendation.","ValueSet/eu-ai-human-oversight-action-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-involvement-cs,0.1.0,active,,EUAIInvolvementCodeSystem,EU AI Involvement Code System,"Codes indicating the manner in which an AI system contributed to the content represented by a FHIR resource.","ValueSet/eu-ai-involvement-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-performance-metric-cs,0.1.0,active,,EUAIPerformanceMetricCodeSystem,EU AI Performance Metric Code System,"Codes identifying performance characteristics used to document the evaluation of an AI system.","ValueSet/eu-ai-performance-metric-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/gdpr-art6-codesystem,0.1.0,active,,GDPRArt6CodeSystem,GDPR Article 6 Legal Basis Code System,"Codes representing the legal bases listed in Article 6(1) GDPR for processing personal data.","ValueSet/gdpr-art6-legal-basis-vs"
http://example.org/fhir/eu-ai-transparency/CodeSystem/gdpr-art9-codesystem,0.1.0,active,,GDPRArt9CodeSystem,GDPR Article 9 Condition Code System,"Codes representing selected conditions in Article 9(2) GDPR under which special categories of personal data may be processed.","ValueSet/gdpr-art9-condition-vs"
http://hl7.org/fhir/artifactassessment-disposition,5.0.0,active,"2.16.840.1.113883.4.642.4.2024",ArtifactAssessmentDisposition,Artifact Assessment Disposition,"Possible values for the disposition of a comment or change request, typically used for comments and change requests, to indicate the disposition of the responsible party towards the changes suggested by the comment or change request.","ValueSet/artifactassessment-disposition"
http://hl7.org/fhir/artifactassessment-information-type,5.0.0,active,"2.16.840.1.113883.4.642.4.2025",ArtifactAssessmentInformationType,Artifact Assessment Information Type,"The type of information contained in a component of an artifact assessment.","ValueSet/artifactassessment-information-type"
http://hl7.org/fhir/artifactassessment-workflow-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2023",ArtifactAssessmentWorkflowStatus,Artifact Assessment Workflow Status,"Possible values for the workflow status of the comment or assessment, typically used to coordinate workflow around the process of accepting and rejecting changes and comments on the artifact.","ValueSet/artifactassessment-workflow-status"
