Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ig.eu.aitransparency.json	40086	-	0	0	0	0	0	0	14	204	0	0	0	0	0	0	0	1	0	0	214	151	0	0	0	8	0	1
fsh-generated/resources/ArtifactAssessment-sc-02-validation-human-oversight-001.json	897	5	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-sc-03-override-human-oversight-001.json	941	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-sc-04-correction-exp-human-oversight-001.json	960	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-sc-01-ai-only-audit-event-ai-execution-001.json	2078	8	0	0	0	0	0	0	1	130	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-sc-02-validation-audit-event-ai-execution-001.json	2084	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-sc-03-override-audit-event-ai-execution-001.json	2080	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-sc-04-correction-exp-audit-event-ai-execution-001.json	2092	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehds-data-category-cs.json	3964	1	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	14	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ehds-secondary-use-purpose-cs.json	2388	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehds-usage-category-cs.json	948	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-artifact-type-cs.json	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-audit-entity-role.json	787	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-case-specific-indication-cs.json	1673	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eu-ai-clinical-validation-status-cs.json	1394	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-contact-purpose-cs.json	926	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	147	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-data-quality-cs.json	1251	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	134	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-human-oversight-cs.json	1117	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-identifier-type-cs.json	738	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-involvement-cs.json	1262	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eu-ai-performance-metric-cs.json	1276	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eu-ai-system-property-cs.json	1563	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-gdpr-art6-codesystem.json	1949	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-gdpr-art9-codesystem.json	2220	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	1	0	0
fsh-generated/resources/Communication-sc-04-correction-exp-patient-explanation-001.json	1098	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0
fsh-generated/resources/Device-device-riskassist-ai.json	3564	4	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-eu-conformity-declaration.json	217	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-modelcard-riskassist-ai.json	3904	2	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-001.json	629	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-ai-observation-risk-001.json	1930	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	73	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-observation-blood-pressure-001.json	1535	2	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-observation-consciousness-status-001.json	480	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-observation-heart-rate-001.json	876	1	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-observation-oxygen-saturation-001.json	1221	1	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	22	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-observation-respiratory-rate-001.json	889	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-01-ai-only-observation-temperature-001.json	877	1	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	4	6	0	0	1	0	0	0
fsh-generated/resources/Observation-sc-02-validation-ai-observation-risk-001.json	1933	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-blood-pressure-001.json	1538	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-consciousness-status-001.json	483	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-heart-rate-001.json	879	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-oxygen-saturation-001.json	1224	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-respiratory-rate-001.json	892	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-temperature-001.json	880	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-03-override-ai-observation-risk-001.json	1892	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-03-override-observation-blood-pressure-001.json	1536	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-03-override-observation-consciousness-status-001.json	481	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-03-override-observation-heart-rate-001.json	877	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-03-override-observation-oxygen-saturation-001.json	1222	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-03-override-observation-respiratory-rate-001.json	890	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	1
fsh-generated/resources/Observation-sc-03-override-observation-temperature-001.json	878	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-ai-observation-risk-001.json	1935	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-corrected-clinical-observation-001.json	942	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-observation-blood-pressure-001.json	1542	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-observation-consciousness-status-001.json	487	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-observation-heart-rate-001.json	883	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-observation-oxygen-saturation-001.json	1228	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-observation-respiratory-rate-001.json	896	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-04-correction-exp-observation-temperature-001.json	884	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-examplehospital.json	1762	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-examplemed.json	1737	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18	3	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-001.json	106	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-001.json	207	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-practitionerrole-reviewer-001.json	670	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Provenance-example-secondary-use-provenance.json	2452	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Provenance-sc-01-ai-only-provenance-ai-output-001.json	2611	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/Provenance-sc-02-validation-provenance-ai-output-001.json	2515	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	10	0	0	0	0	0	0
fsh-generated/resources/Provenance-sc-03-override-provenance-ai-output-001.json	2499	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	83	11	0	0	0	0	0	0
fsh-generated/resources/Provenance-sc-04-correction-exp-provenance-ai-output-001.json	2547	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	63	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ai-clinical-validation-status.json	1997	1	0	8	0	0	0	0	0	532	0	0	1	0	0	0	0	0	0	0	234	403	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ai-performance-metrics.json	4674	3	0	17	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	143	160	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ai-retention-information.json	2251	2	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	169	96	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ai-system-training-status.json	1702	1	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	96	65	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ai-training-data.json	5928	4	0	17	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	129	135	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-automated-decision-flag.json	1662	1	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-case-specific-indication.json	1852	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehds-data-permit.json	1604	1	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	21	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehds-secondary-use-purpose.json	1812	1	0	4	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehds-usage-category.json	1790	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eu-ai-conformity-reference.json	1731	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	43	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eu-ai-device.json	8610	5	0	89	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	319	421	0	1	0	13	0	1
fsh-generated/resources/StructureDefinition-eu-ai-dpia-reference.json	1614	1	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eu-ai-human-oversight.json	3113	2	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	261	104	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-eu-ai-log-integrity.json	2477	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	43	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eu-ai-machine-execution-audit-event.json	5049	3	0	45	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	219	263	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-eu-ai-model-card.json	6066	3	0	31	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	173	221	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-eu-ai-observation.json	3804	2	0	35	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	189	226	0	0	0	8	1	1
