URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/eu-ai-model-card","DICOM"
http://example.org/fhir/eu-ai-transparency/ValueSet/ehds-data-category-vs,0.1.0,active,,EHDSDataCategoryVS,EHDS Data Category Value Set,"Categories of electronic health data that may be documented for secondary-use and AI-development contexts.","StructureDefinition/ai-training-data","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/ehds-secondary-use-purpose-vs,0.1.0,active,,EHDSSecondaryUsePurposeVS,EHDS Secondary-Use Purpose Value Set,"Purpose categories used to document the secondary use of electronic health data under the EHDS.","StructureDefinition/ai-training-data,StructureDefinition/ehds-secondary-use-purpose","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/ehds-usage-category-vs,0.1.0,active,,EHDSUsageCategoryVS,EHDS Usage Category Value Set,"Categories distinguishing primary and secondary use of electronic health data in the EHDS context.","StructureDefinition/ehds-usage-category","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-audit-entity-role-vs,0.1.0,draft,,EUAIAuditEntityRoleValueSet,EU AI Audit Entity Role Value Set,"Roles of entities involved in an AI execution audit event.",,"Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-case-specific-indication-vs,0.1.0,active,,EUAICaseSpecificIndicationVS,EU AI Case-Specific Indication Value Set,"Clinical purposes for applying an AI system in an individual care context.","StructureDefinition/case-specific-indication","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-clinical-validation-status-vs,0.1.0,active,,EUAIClinicalValidationStatusVS,EU AI Clinical Validation Status Value Set,"Clinical validation statuses applicable to an AI system and its documented intended use.","StructureDefinition/ai-clinical-validation-status","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-data-quality-vs,0.1.0,active,,EUAIDataQualityVS,EU AI Data Quality Value Set,"Assessed data-quality characteristics relevant to AI-system development, validation, testing, or evaluation.","StructureDefinition/ai-training-data","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-human-oversight-action-vs,0.1.0,active,,EUAIHumanOversightActionVS,EU AI Human Oversight Action Value Set,"Human oversight actions that may be documented in relation to an AI-generated output or recommendation.","StructureDefinition/eu-ai-human-oversight","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-involvement-vs,0.1.0,active,,EUAIInvolvementVS,EU AI Involvement Value Set,"Codes used to classify how an AI system contributed to the content of a FHIR resource.",,"Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/eu-ai-performance-metric-vs,0.1.0,active,,EUAIPerformanceMetricVS,EU AI Performance Metric Value Set,"Performance characteristics that may be documented for an AI system.","StructureDefinition/ai-performance-metrics","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/gdpr-art6-legal-basis-vs,0.1.0,active,,GDPRArt6LegalBasisVS,GDPR Article 6 Legal Basis Value Set,"Legal bases listed in Article 6(1) GDPR for documenting the asserted lawful basis for processing personal data.","StructureDefinition/eu-ai-provenance","Internal"
http://example.org/fhir/eu-ai-transparency/ValueSet/gdpr-art9-condition-vs,0.1.0,active,,GDPRArt9ConditionVS,GDPR Article 9 Condition Value Set,"Selected Article 9(2) GDPR conditions relevant to processing health data and other special categories of personal data in this implementation guide.","StructureDefinition/eu-ai-provenance","Internal"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/eu-ai-model-card,StructureDefinition/eu-ai-organization,StructureDefinition/eu-ai-patient-explanation,StructureDefinition/eu-ai-device,StructureDefinition/eu-ai-observation,StructureDefinition/eu-ai-provenance,StructureDefinition/eu-ai-machine-execution-audit-event,StructureDefinition/eu-ai-human-oversight,StructureDefinition/eu-ai-practitionerrole","Other"
http://hl7.org/fhir/ValueSet/artifactassessment-disposition,5.0.0,draft,"2.16.840.1.113883.4.642.3.3155",ArtifactAssessmentDisposition,Artifact Assessment Disposition,"Possible values for the disposition of a comment or change request, typically used for comments and change requests, to indicate the disposition of the responsible party towards the changes suggested by the comment or change request.","StructureDefinition/eu-ai-human-oversight","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/artifactassessment-information-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3156",ArtifactAssessmentInformationType,Artifact Assessment Information Type,"The type of information contained in a component of an artifact assessment.","StructureDefinition/eu-ai-human-oversight","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/artifactassessment-workflow-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.3157",ArtifactAssessmentWorkflowStatus,Artifact Assessment Workflow Status,"Possible values for the workflow status of the comment or assessment, typically used to coordinate workflow around the process of accepting and rejecting changes and comments on the artifact.","StructureDefinition/eu-ai-human-oversight","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/audit-event-action,5.0.0,draft,"2.16.840.1.113883.4.642.3.452,2.16.840.1.113883.4.642.3.445,2.16.840.1.113883.4.642.2.263",AuditEventAction,Audit Event Action,"Indicator for type of action performed during the event that generated the event.","StructureDefinition/eu-ai-machine-execution-audit-event","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome,5.0.0,draft,"2.16.840.1.113883.4.642.3.454,2.16.840.1.113883.4.642.3.447,2.16.840.1.113883.4.642.2.264",AuditEventOutcome,Audit Event Outcome,"Indicates whether the event succeeded or failed.","StructureDefinition/eu-ai-machine-execution-audit-event","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome-detail,5.0.0,draft,"2.16.840.1.113883.4.642.3.2979",AuditEventOutcomeDetail,Audit Event Outcome Detail,"Indicates more detailed reason for outcome.","StructureDefinition/eu-ai-machine-execution-audit-event","THO"
http://hl7.org/fhir/ValueSet/audit-event-severity,5.0.0,draft,"2.16.840.1.113883.4.642.3.2980",AuditEventSeverity,Audit Event Severity,"The severity of the audit entry.","StructureDefinition/eu-ai-machine-execution-audit-event","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/audit-event-sub-type,5.0.0,active,"2.16.840.1.113883.4.642.3.464,2.16.840.1.113883.4.642.3.457,2.16.840.1.113883.4.642.2.270",AuditEventSubType,Audit Event Sub-Type,"More detailed code concerning the type of the audit event - defined by DICOM with some additional FHIR, HL7, and other additions.","StructureDefinition/eu-ai-machine-execution-audit-event","hl7.fhir.r5.core,DICOM"
http://hl7.org/fhir/ValueSet/audit-event-type,5.0.0,active,"2.16.840.1.113883.4.642.3.455,2.16.840.1.113883.4.642.2.269,2.16.840.1.113883.4.642.3.462",AuditEventID,Audit Event ID,"Event Categories for Audit Events - defined by DICOM with some FHIR specific additions.","StructureDefinition/eu-ai-machine-execution-audit-event","THO,DICOM"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/eu-ai-model-card,StructureDefinition/eu-ai-observation","SCT"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,5.0.0,active,"2.16.840.1.113883.3.88.12.80.67,2.16.840.1.113883.4.642.2.131",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter,    service, interaction, or treatment occurred. The value set used for Healthcare Facility    Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/eu-ai-model-card","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,5.0.0,active,"2.16.840.1.113883.4.642.2.134,2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who    interacted with, treated, or provided a service to/for the patient. The value set used    for clinical specialty has been limited by HITSP to the value set reproduced from HITSP    C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/eu-ai-model-card,StructureDefinition/eu-ai-practitionerrole","SCT"
http://hl7.org/fhir/ValueSet/certainty-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3043",EvidenceCertaintyType,Evidence Certainty Type,"The aspect of quality, confidence, or certainty.","StructureDefinition/eu-ai-human-oversight","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/eu-ai-patient-explanation","SCT"
http://hl7.org/fhir/ValueSet/communication-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.172,2.16.840.1.113883.4.642.3.162",CommunicationCategory,Communication Category,"Codes for general categories of communications such as alerts, instructions, etc.","StructureDefinition/eu-ai-patient-explanation","THO"
http://hl7.org/fhir/ValueSet/communication-not-done-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.164,2.16.840.1.113883.4.642.3.174",CommunicationNotDoneReason,Communication Not Done Reason,"Codes for the reason why a communication did not happen.","StructureDefinition/eu-ai-patient-explanation","THO"
http://hl7.org/fhir/ValueSet/communication-topic,5.0.0,draft,"2.16.840.1.113883.4.642.3.983",CommunicationTopic,Communication Topic,"Codes describing the purpose or content of the communication.","StructureDefinition/eu-ai-patient-explanation","THO"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,5.0.0,draft,"2.16.840.1.113883.4.642.3.233,2.16.840.1.113883.4.642.3.238,2.16.840.1.113883.4.642.2.120",CompositionAttestationMode,Composition Attestation Mode,"The way in which a person authenticated a composition.","StructureDefinition/eu-ai-model-card","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/composition-status,5.0.0,draft,"2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.3.236,2.16.840.1.113883.4.642.3.241",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","StructureDefinition/eu-ai-model-card","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/data-absent-reason,5.0.0,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,Data Absent Reason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/eu-ai-observation","THO"
http://hl7.org/fhir/ValueSet/device-availability-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.3198",FHIRDeviceAvailabilityStatus,FHIR Device Availability Status,"The availability status of the device.","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3307",FHIRDeviceCategory,FHIR Device Category,"The association state of the device.","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-nametype,5.0.0,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,Device Name Type,"The type of name the device is referred by.","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-operation-mode,5.0.0,draft,"2.16.840.1.113883.4.642.3.3309",FHIRDeviceOperationMode,FHIR Device Operation Mode,"The operation mode of the device.","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-property-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3195",DeviceType,Device Property Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/eu-ai-device","SCT,Other"
http://hl7.org/fhir/ValueSet/device-safety,5.0.0,draft,"2.16.840.1.113883.4.642.3.213,2.16.840.1.113883.4.642.3.893",DeviceSafety,Device Safety,"Codes used to identify medical devices safety characteristics. These codes are taken from the [NCI Thesaurus](https://ncit.nci.nih.gov/ncitbrowser/pages/home.jsf) and are provided here as a suggestive example.","StructureDefinition/eu-ai-device","Other"
http://hl7.org/fhir/ValueSet/device-specification-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3197",DeviceSpecificationCategory,Device Specification Category,"The kind of standards used by the device.","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-specification-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3204",DeviceSpecificationType,Device Specification Type,"The type or specification of a standard that devices can adhere to","StructureDefinition/eu-ai-device","Other"
http://hl7.org/fhir/ValueSet/device-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.199,2.16.840.1.113883.4.642.3.209",FHIRDeviceStatus,FHIR Device Status,"The status of the Device record.","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.1376",DeviceType,Device Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/eu-ai-device","SCT,Other"
http://hl7.org/fhir/ValueSet/device-versiontype,5.0.0,draft,"2.16.840.1.113883.4.642.3.3202",DeviceVersionType,Device Version Type,"Describes the type of version","StructureDefinition/eu-ai-device","Other"
http://hl7.org/fhir/ValueSet/doc-typecodes,5.0.0,draft,"2.16.840.1.113883.4.642.3.235,2.16.840.1.113883.4.642.2.121,2.16.840.1.113883.4.642.3.240",FHIRDocumentTypeCodes,FHIR Document Type Codes,"FHIR Document Codes - all LOINC codes where scale type = 'DOC'.","StructureDefinition/eu-ai-model-card","LOINC"
http://hl7.org/fhir/ValueSet/document-reference-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/eu-ai-model-card","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.244,2.16.840.1.113883.4.642.3.239,2.16.840.1.113883.4.642.2.133",DocumentRelationshipType,Document Relationship Type,"The type of relationship between documents.","StructureDefinition/eu-ai-model-card","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/eu-ai-patient-explanation","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/eu-ai-device","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/eu-ai-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/eu-ai-model-card,StructureDefinition/eu-ai-organization,StructureDefinition/eu-ai-patient-explanation,StructureDefinition/eu-ai-device,StructureDefinition/eu-ai-observation,StructureDefinition/eu-ai-provenance,StructureDefinition/eu-ai-machine-execution-audit-event,StructureDefinition/eu-ai-human-oversight,StructureDefinition/eu-ai-practitionerrole","Other"
http://hl7.org/fhir/ValueSet/mimetypes,5.0.0,active,"2.16.840.1.113883.4.642.3.1024",MimeTypes,Mime Types,"This value set includes all possible codes from BCP-13 (see http://tools.ietf.org/html/bcp13)","StructureDefinition/eu-ai-model-card,StructureDefinition/eu-ai-log-integrity","Other"
http://hl7.org/fhir/ValueSet/object-role,5.0.0,draft,"2.16.840.1.113883.4.642.3.453,2.16.840.1.113883.4.642.2.267,2.16.840.1.113883.4.642.3.460",AuditEventEntityRole,Audit Event Entity Role,"Code representing the role the entity played in the audit event.","StructureDefinition/eu-ai-machine-execution-audit-event","THO"
http://hl7.org/fhir/ValueSet/observation-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.403,2.16.840.1.113883.4.642.2.222,2.16.840.1.113883.4.642.3.392",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/eu-ai-observation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,5.0.0,draft,"2.16.840.1.113883.4.642.2.216,2.16.840.1.113883.4.642.3.396,2.16.840.1.113883.4.642.3.383",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/eu-ai-observation","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,5.0.0,active,"2.16.840.1.113883.4.642.3.399,2.16.840.1.113883.4.642.3.386,2.16.840.1.113883.4.642.2.218",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/eu-ai-observation","THO (V3)"
