Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ig.eu.aitransparency.json	18704	-	0	0	0	0	0	0	12	165	0	0	0	0	0	0	0	2	0	0	60	139	0	0	0	4	0	0
fsh-generated/resources/ArtifactAssessment-sc-02-validation-human-oversight-001.json	1058	6	0	0	1	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-sc-02-validation-audit-event-ai-execution-001.json	4332	9	0	0	0	0	0	0	1	194	0	0	0	0	0	0	0	0	0	0	13	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EUAIActCodeSystem.json	7600	4	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	22	154	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-gdpr-art6-codesystem.json	732	2	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	6	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-gdpr-art9-codesystem.json	860	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	52	0	0	0	0	0	0
fsh-generated/resources/Communication-Communication-sc-02-patient-explanation-001.json	918	3	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0
fsh-generated/resources/Consent-sc-02-validation-consent-ai-use-001.json	994	3	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Device-device-riskassist-ai.json	3611	6	0	0	0	0	0	0	1	547	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-modelcard-riskassist-ai.json	3620	6	0	0	0	0	0	0	1	373	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-001.json	629	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-ai-observation-risk-001.json	1814	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-blood-pressure-001.json	554	2	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0
fsh-generated/resources/Observation-sc-02-validation-observation-consciousness-status-001.json	483	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0
