Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	10626	-	0	0	0	0	0	0	4	104	0	0	0	0	0	0	0	1	0	0	87	82	0	0	1	2	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2247	16	0	0	0	0	0	0	1	223	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	14	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	12	0	0	0	0	0	0	1	166	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	11	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6093	20	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	96	26	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3817	17	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	25	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	17	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	26	11	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	17	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	19	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	21	6	0	0	0	0	24	0	517	0	0	1	0	0	0	0	1	0	0	159	2305	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1689	17	0	0	0	0	0	6	0	19	0	0	0	0	0	0	0	0	0	0	71	197	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	17	0	0	0	0	0	10	0	43	0	0	0	0	0	0	0	0	0	0	75	178	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	19	5	0	0	0	0	18	0	46	0	0	0	0	0	0	0	1	0	0	126	326	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1946	9	0	0	0	0	0	17	0	14	0	0	0	0	0	0	0	0	0	0	58	151	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	5	0	0	0	0	0	56	0	13	0	0	0	0	0	0	0	0	0	0	63	212	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4143	9	0	0	0	0	0	43	0	103	0	0	1	0	0	0	0	1	0	0	450	1034	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	25	0	0	0	0	0	154	0	219	0	0	0	0	0	0	0	6	0	0	1390	1710	0	0	0	36	0	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	9	0	0	0	0	0	52	0	39	0	0	0	0	0	0	0	1	0	0	493	680	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	5	0	0	0	0	0	16	0	45	0	0	0	0	0	0	0	1	0	0	149	217	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	6	0	0	0	0	0	52	0	28	0	0	1	0	0	0	0	1	0	0	452	842	0	0	0	19	0	0
