Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	10626	-	0	0	0	0	0	0	4	118	0	0	0	0	0	0	0	0	0	0	105	79	0	0	0	1	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2247	15	1	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	12	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	28	20	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	12	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	1	0	0	21	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6093	18	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	38	33	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3817	15	0	0	0	0	0	0	1	175	0	0	0	0	0	0	0	0	0	0	25	18	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	17	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	17	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	8	6	0	0	0	0	23	0	333	0	0	1	0	0	0	0	1	0	0	159	2214	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1689	6	0	0	0	0	0	5	0	16	0	0	0	0	0	0	0	0	0	0	69	199	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	7	0	0	0	0	0	11	0	95	0	0	0	0	0	0	0	0	0	0	61	172	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3687	7	5	0	0	0	0	15	0	97	0	0	0	0	0	0	0	1	0	0	127	293	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1946	6	0	0	0	0	0	16	0	12	0	0	0	0	0	0	0	0	0	0	61	122	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	7	0	0	0	0	0	66	0	13	0	0	0	0	0	0	0	0	0	0	64	160	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4143	8	0	0	0	0	0	51	0	249	0	0	0	0	0	0	0	2	0	0	428	904	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	19	0	0	0	0	0	172	0	198	0	0	1	0	0	1	0	5	0	0	1401	1586	0	0	0	25	0	4
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	5	0	0	0	0	0	62	0	32	0	0	0	0	0	0	0	2	0	0	508	502	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	4	0	0	0	0	0	23	0	94	0	0	0	0	0	0	0	0	0	0	154	246	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	3	0	0	0	0	0	58	0	22	0	0	0	0	0	0	0	2	0	0	476	710	0	0	0	8	1	1
