Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	10948	-	0	0	0	0	0	0	5	124	0	0	0	0	0	0	0	1	0	0	95	84	0	0	0	2	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2247	23	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	22	0	0	0	0	0	0	1	56	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	18	0	0	1	0	0	0	1	129	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6093	21	1	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	30	28	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3817	18	0	0	0	0	0	0	1	71	0	0	0	0	0	0	0	0	0	0	23	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	17	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	18	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	20	7	0	0	0	0	32	0	213	0	0	1	0	0	0	0	1	0	0	149	1978	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1689	17	0	0	0	0	0	9	0	16	0	0	0	0	0	0	0	0	0	0	51	195	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	16	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	0	0	51	156	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	17	0	0	0	0	0	16	0	108	0	0	0	0	0	0	0	1	0	0	59	218	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3687	18	5	0	0	0	0	21	0	31	0	0	0	0	0	0	0	0	0	0	121	316	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1946	12	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	55	147	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	3	0	0	0	0	0	69	0	7	0	0	0	0	0	0	0	0	0	0	60	199	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4143	4	0	0	0	0	0	45	0	97	0	0	0	0	0	0	0	0	0	0	416	924	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	16	0	0	0	0	0	212	0	121	0	0	0	0	0	0	0	3	0	0	1419	1948	0	0	0	40	0	3
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	6	0	0	0	0	0	141	0	32	0	0	1	0	0	0	0	0	0	0	469	717	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	4	0	0	0	0	0	28	0	34	0	0	0	0	0	0	0	1	0	0	162	227	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	6	0	0	0	0	0	85	0	35	0	0	0	0	0	0	0	1	0	0	480	609	0	0	0	11	0	1
