Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	11872	-	0	0	0	0	0	0	5	160	0	0	0	0	0	0	0	1	0	0	91	76	0	0	1	2	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2430	18	0	0	0	0	0	0	1	234	0	0	0	0	0	0	0	0	0	0	23	10	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	13	0	0	0	0	0	0	4	66	0	0	0	0	0	0	0	0	0	0	28	19	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	10	1	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	12	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	15	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	42	25	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	12	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	26	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	11	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	12	7	0	0	0	0	32	0	399	0	0	0	0	0	0	0	0	0	0	163	2692	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1846	10	0	0	0	0	0	10	0	15	0	0	0	0	0	0	0	1	0	0	54	245	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	11	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	0	0	57	160	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	11	0	0	0	0	0	10	0	87	0	0	1	0	0	0	0	0	0	0	64	144	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	11	4	0	0	0	0	22	0	128	0	0	0	0	0	0	0	0	0	0	131	243	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2384	10	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	56	110	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	10	0	0	0	0	0	52	0	8	0	0	0	0	0	0	0	0	0	0	83	164	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	5054	12	1	0	0	0	0	80	0	170	0	0	0	0	0	0	0	1	0	0	532	900	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	26872	26	0	0	0	0	0	217	0	186	0	0	0	0	0	0	0	3	0	0	1440	2237	0	0	0	33	0	1
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	12	0	0	0	0	0	75	0	33	0	0	1	0	0	0	0	1	0	0	517	584	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	10	0	0	0	0	0	25	0	84	0	0	0	0	0	0	0	0	0	0	132	263	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	9	0	0	0	0	0	88	0	27	0	0	0	0	0	0	0	2	0	0	464	937	0	0	0	10	0	1
