Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	13220	-	0	0	0	0	0	0	10	238	0	0	0	0	0	0	0	0	0	0	69	89	0	0	0	3	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2429	27	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	20	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	24	0	0	1	0	0	0	1	75	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	7	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	9	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	23	25	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExampleBart.json	1136	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	8	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-HL7ATCoreRelatedPersonExampleHomer.json	2383	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	9	0	33	7	0	0	0	0	817	0	0	1	0	0	0	0	0	0	0	87	742	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1846	6	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	35	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	7	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	31	109	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	7	0	17	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	35	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	7	0	23	5	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	64	213	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2384	7	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	90	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	5	0	19	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4796	8	0	83	0	0	0	0	0	435	0	0	0	0	0	0	0	1	0	0	224	520	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	19	0	209	0	0	0	0	0	921	0	0	1	0	0	0	0	4	0	0	651	1129	0	0	0	36	0	3
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	9	0	62	0	0	0	0	0	22	0	0	0	0	0	0	0	2	0	0	231	303	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	5	0	19	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	115	178	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-at-core-related-person.json	5652	8	0	41	0	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	249	350	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	7	0	63	1	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	211	347	0	0	0	9	0	1
