Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	10626	-	0	0	0	0	0	0	4	57	0	0	0	0	1	0	0	1	0	0	71	78	0	0	0	2	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2247	20	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3833	13	0	0	0	0	0	0	1	102	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	1	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	11	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	11	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6133	18	0	0	0	0	0	0	1	56	0	0	0	0	0	0	0	0	0	0	28	29	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3830	10	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4231	11	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	19	15	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	15	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	10	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	10	7	0	1	0	0	33	0	343	0	0	1	0	0	0	0	1	0	0	136	2942	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1689	11	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	51	185	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	10	0	0	0	0	0	9	0	79	0	0	0	0	0	0	0	1	0	0	62	156	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4016	9	5	0	0	0	0	25	0	94	0	0	0	0	0	0	0	1	0	0	162	331	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1946	9	1	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	57	118	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	8	0	0	0	0	0	65	0	8	0	0	0	0	0	0	0	0	0	0	61	138	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4143	10	0	0	0	0	0	33	0	198	0	0	0	0	0	0	0	2	0	0	409	941	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	27799	22	0	0	0	0	0	167	0	154	0	0	1	0	0	0	0	4	0	0	1413	2373	0	1	0	36	0	4
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	10	0	0	0	0	0	81	0	20	0	0	0	0	0	0	0	2	0	0	444	662	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	11	0	0	0	0	0	24	0	82	0	0	0	0	0	0	0	0	0	0	148	210	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	11	0	0	0	0	0	66	0	36	0	0	0	0	0	0	0	2	0	0	445	681	0	0	0	28	0	1
