Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-HL7ATCoreProfiles.json	10620	-	0	0	0	0	0	0	3	82	1	0	0	0	0	0	0	0	0	0	77	92	0	0	0	3	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2245	25	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3833	23	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	14	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	10	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6133	24	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	30	25	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3830	22	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	22	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4231	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	11	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	14	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6104	18	9	0	0	0	0	64	0	395	0	0	1	0	0	0	0	1	0	0	143	2356	0	1	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1808	8	0	0	0	0	0	13	0	16	0	0	0	0	0	0	0	0	0	0	54	191	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3634	11	0	0	0	0	0	17	0	83	0	0	0	0	0	0	0	0	0	0	59	163	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4135	13	8	0	0	0	0	62	0	121	0	0	0	0	0	0	0	1	0	0	173	395	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2065	7	1	0	0	0	0	23	0	28	0	0	0	0	0	0	0	0	0	0	82	114	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1526	7	0	0	0	0	0	79	0	19	0	0	0	0	0	0	0	0	0	0	67	162	0	0	1	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4720	14	0	0	0	0	0	145	0	273	0	0	0	0	0	0	0	1	0	0	453	743	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	28461	52	0	0	0	0	0	515	0	506	0	0	1	0	0	0	0	4	0	0	1568	2080	0	0	0	25	1	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	5239	11	0	0	0	0	0	166	0	134	0	0	0	0	0	0	0	1	0	0	560	419	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	2154	5	0	0	0	0	0	46	0	93	0	0	0	0	0	0	0	0	0	0	132	198	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	3092	6	0	0	0	0	0	255	0	167	0	0	1	0	0	0	0	1	0	0	489	827	0	0	0	9	0	0
