Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	10626	-	0	0	0	0	0	0	5	62	0	0	0	0	0	0	0	1	0	0	82	69	0	0	0	2	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2247	25	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3820	21	0	0	0	0	0	0	1	94	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	18	1	0	0	0	0	0	1	392	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	17	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6120	21	0	0	0	0	0	0	1	45	0	0	0	0	0	0	0	0	0	0	27	26	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3817	11	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4218	10	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	1
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	14	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	10	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	8	8	0	0	0	0	27	0	132	0	0	1	0	0	0	0	1	0	0	173	2085	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1689	3	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	60	190	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	3	0	0	0	0	0	12	0	104	0	0	0	0	0	0	0	1	0	0	121	177	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3687	4	6	0	0	0	0	18	0	96	0	0	0	0	0	0	0	0	0	0	117	304	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1946	3	0	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	54	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	4	1	0	0	0	0	81	0	9	0	0	0	0	0	0	0	0	0	0	61	191	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4143	4	0	0	0	0	0	32	0	195	0	0	0	0	0	0	0	0	0	0	458	915	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	27799	19	0	0	0	0	0	182	0	199	0	0	0	0	0	0	0	2	0	0	1452	2191	0	0	0	38	0	3
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	9	0	0	0	0	0	75	0	31	0	0	1	0	0	0	0	1	0	0	477	411	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	3	0	0	0	0	0	35	0	106	0	0	0	0	0	0	0	0	0	0	129	148	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	3	0	0	1	0	0	139	0	32	0	0	0	0	0	0	0	1	0	0	446	557	0	0	0	13	0	1
