Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	11872	-	0	0	0	0	0	0	3	99	0	0	0	0	0	0	0	1	0	0	58	68	0	0	1	2	0	1
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2429	23	0	0	0	1	0	0	0	181	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	18	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	21	0	0	0	0	0	0	1	84	0	0	0	0	0	0	0	0	0	0	17	24	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	19	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	22	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	25	21	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	19	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	19	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	8	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	8	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	8	6	0	0	0	0	29	0	370	0	0	1	0	0	0	0	3	0	0	108	1960	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1846	5	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	40	172	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	6	0	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	38	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	7	0	0	0	0	0	13	0	128	0	0	0	0	0	0	0	0	0	0	41	132	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	6	5	0	0	0	0	21	0	115	0	0	0	0	0	0	0	0	0	0	74	233	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2384	6	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	0	0	29	143	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	6	0	0	1	0	0	75	0	8	0	0	0	0	0	0	0	0	0	0	29	191	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4796	7	0	0	0	0	0	40	0	138	0	0	0	0	0	0	0	2	0	0	254	1114	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	17	0	0	0	0	0	176	0	300	0	0	0	0	0	0	0	4	0	0	741	1935	0	0	0	40	0	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	8	1	0	0	0	0	59	0	31	0	0	1	0	0	0	0	1	0	0	281	821	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	6	0	0	0	0	0	23	0	116	0	0	0	0	0	0	0	1	0	0	74	245	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	5	0	0	0	0	0	71	0	31	0	0	0	0	0	0	0	1	0	0	217	781	0	0	0	12	0	1
